model,source_file,flow_slpm,rated_min_slpm,low_flow_flag,dry_in_T_C,dry_in_RH,dry_in_p_kPa_abs,dry_in_p_H2O_kPa,dry_in_omega_kgpkg,dry_in_dewpoint_C,dry_in_sat_omega_kgpkg,dry_in_oversat_flag,dry_out_T_C,dry_out_RH,dry_out_p_kPa_abs,dry_out_p_H2O_kPa,dry_out_omega_kgpkg,dry_out_dewpoint_C,dry_out_sat_omega_kgpkg,dry_out_oversat_flag,wet_in_T_C,wet_in_RH,wet_in_p_kPa_abs,wet_in_p_H2O_kPa,wet_in_omega_kgpkg,wet_in_dewpoint_C,wet_in_sat_omega_kgpkg,wet_in_oversat_flag,wet_out_T_C,wet_out_RH,wet_out_p_kPa_abs,wet_out_p_H2O_kPa,wet_out_omega_kgpkg,wet_out_dewpoint_C,wet_out_sat_omega_kgpkg,wet_out_oversat_flag,dry_air_mass_flow_kg_s,wet_gas_mass_flow_kg_s,dry_in_H2O_vapor_kg_s,dry_out_H2O_vapor_kg_s,wet_dry_gas_equiv_mass_flow_kg_s,wet_in_H2O_vapor_kg_s,wet_out_H2O_vapor_kg_s,water_transfer_meas_kg_s,wet_side_water_loss_meas_kg_s,four_port_water_balance_residual_kg_s,four_port_water_balance_residual_g_s,four_port_water_balance_relative_error,dry_dp_kPa,wet_dp_kPa,dry_dp_abnormal_flag,wet_dp_abnormal_flag,missing_field_flag,unit_uncertain_flag,water_balance_risk_flag,calibration_use_level,dry_side_gain_g_s,wet_side_loss_g_s,dry_to_wet_transfer_ratio,any_quality_flag,quality_label
GZS120,GZS120测试数据.xlsx,1000,2500,1,55.7,0.104,116.525,1.69902751778005,0.00920263636094468,14.9729887304016,0.101415069701648,0,50.9,0.896,113.425,11.5820273861575,0.0707303001651057,48.7015769455722,0.0799960266602201,0,57.8,0.981,110.725,17.7135362045789,0.118446101428834,57.3952451920281,0.121187167122345,0,47.7,0.971,107.025,10.6914530690327,0.0690257546915054,47.1204261320901,0.0713236992337413,0,0.0194873318381154,0.0196666666666667,0.000179334828551236,0.00137834483032693,0.0175839199059679,0.00208274676069877,0.00121374334194442,0.00119901000177569,0.000869003418754352,0.000330006583021337,0.330006583021337,0.275232552299489,3.1,3.7,0,0,0,0,1,dry_priority_only,1.19901000177569,0.869003418754352,1.37975291684626,1,low_flow|water_balance_risk
GZS120,GZS120测试数据.xlsx,2049,2500,1,55.9,0.091,138.425,1.50097929350222,0.0068178436616194,13.0611481170476,0.0841341175344737,0,53.2,0.914,134.625,13.2300254329157,0.0677816210861983,51.3690897107301,0.0749276645836948,0,63.7,0.981,128.525,23.2942005520868,0.137675582038496,63.2792247141835,0.140946368831264,0,52.6,0.97,122.925,13.6345667822657,0.0775909691976612,51.9798081042217,0.0803005224773701,0,0.0400241217949087,0.040297,0.000272878205091301,0.00271289985781035,0.0354204666393521,0.00487653336064791,0.00274830833598075,0.00244002165271905,0.00212822502466716,0.000311796628051888,0.311796628051888,0.127784369333131,3.8,5.6,0,0,0,0,0,dual_side_fit_candidate,2.44002165271905,2.12822502466716,1.14650547965465,1,low_flow
GZS120,GZS120测试数据.xlsx,3000,2500,0,58.1,0.082,150.325,1.50179449266723,0.00627612859538832,13.069461951714,0.0862860086316356,0,56,0.873,145.825,14.4686689610281,0.0685061484725605,53.1912305978146,0.0797500086218389,0,65.5,0.985,134.425,25.3744704216386,0.144717545778131,65.1644845241885,0.147443823595879,0,55.4,0.971,125.525,15.6360294824789,0.0884961457977237,54.7893528167138,0.0915281428417114,0,0.0586320179157536,0.059,0.000367982084246382,0.00401665372458245,0.0515410986907641,0.00745890130923585,0.00456118858431273,0.00364867164033607,0.00289771272492312,0.000750958915412946,0.750958915412946,0.205817072468538,4.5,8.9,0,0,0,0,0,dual_side_fit_candidate,3.64867164033607,2.89771272492312,1.25915575031092,0,ok
GZS120,GZS120测试数据.xlsx,4000,2500,0,64.4,0.064,199.025,1.56880027435617,0.00494138694044628,13.7396057258114,0.0873601023030434,0,61.1,0.975,193.325,20.5464493607845,0.0739603463532744,60.5542593341781,0.0760887734754074,0,72.3,0.982,168.025,34.1265249118259,0.158514288697528,71.8789034313098,0.162177494900044,0,61.8,0.968,155.325,21.069451756101,0.0976052039848843,61.096075360252,0.101357660570008,0,0.0782798556104532,0.0786666666666667,0.000386811056213513,0.00578960523343343,0.067903061217405,0.0107636054492617,0.0066276921413229,0.00540279417721991,0.00413591330793875,0.00126688086928116,1.26688086928116,0.234486235774588,5.7,12.7,0,0,0,0,0,dual_side_fit_candidate,5.40279417721991,4.13591330793875,1.30631223987442,0,ok
GZS120,GZS120测试数据.xlsx,5000,2500,0,68.2,0.071,216.825,2.0631209623805,0.00597474641541469,18.0261772586145,0.0962496486374912,0,63,0.983,211.425,22.6079024853307,0.0744682133997245,62.6255579111996,0.0759132590934491,0,74.9,0.982,180.325,38.1360521855835,0.166809919766197,74.4719355773974,0.170706766652368,0,63.8,0.967,163.425,23.0665068898626,0.102210406436598,63.064208580578,0.106294586522744,0,0.0977493060175954,0.0983333333333333,0.000584027315737902,0.00727921618019327,0.0842753662507748,0.0140579670825586,0.00861381943708486,0.00669518886445536,0.00544414764547372,0.00125104121898164,1.25104121898164,0.186856748078221,5.40000000000001,16.9,0,0,0,0,0,dual_side_fit_candidate,6.69518886445536,5.44414764547372,1.22979560813744,0,ok
GZS120,GZS120测试数据.xlsx,6000,2500,0,70.1,0.082,242.825,2.59028248707583,0.00670599677724644,21.6975675281225,0.0930072778735476,0,72.9,0.748,236.025,26.6738562794087,0.0792432811632409,66.2759243614908,0.110691644542524,0,80.2,0.982,199.825,47.5636405483437,0.194284147516968,79.7575550490127,0.198984737715489,0,72.4,0.969,180.425,33.8200766291884,0.143475587828236,71.6702021752266,0.149166490041865,0,0.117213963538264,0.118,0.00078603646173588,0.00928841906892053,0.0988039573708932,0.0191960426291068,0.0141759558635448,0.00850238260718465,0.00502008676556197,0.00348229584162268,3.48229584162268,0.409567059318182,6.80000000000001,19.4,0,0,0,0,1,dry_priority_only,8.50238260718465,5.02008676556197,1.69367244118396,1,water_balance_risk
GZS120,GZS120测试数据.xlsx,7000,2500,0,70.2,0.102,262.525,3.23616045998271,0.00776243906546279,25.3907985381969,0.0854968146150673,0,73.8,0.682,253.725,25.2751922583008,0.0688106486255517,65.0775772208678,0.10638346042456,0,80.2,0.985,210.425,47.7089469858641,0.182356568288597,79.8317715812816,0.18596390643565,0,70.2,0.971,190.025,30.806978496502,0.120339683033846,69.5273538504722,0.124654109966542,0,0.136606268828922,0.137666666666667,0.00106039783774474,0.00939996596443461,0.116434137009897,0.0212325296567692,0.0140116471420904,0.00833956812668987,0.00722088251467883,0.00111868561201104,1.11868561201104,0.13414191178927,8.79999999999998,20.4,0,0,0,0,0,dual_side_fit_candidate,8.33956812668987,7.22088251467883,1.15492366891955,0,ok
GZS120,GZS120测试数据.xlsx,7500,2500,0,70.1,0.093,283.425,2.93775940607381,0.00651411012473036,23.7733114142383,0.0780130250859268,0,72.1,0.683,273.525,23.5319143319912,0.0585438450031627,63.5017897907482,0.0896316087973406,0,80.1,0.986,234.825,47.5619299065203,0.157964431966988,79.7566801776089,0.160787176906365,0,71.6,0.971,209.525,32.7397155304204,0.11518098034382,70.9213342559388,0.119280736703935,0,0.146545387209446,0.1475,0.000954612790553586,0.00857933043471829,0.127378696554131,0.0201213034458687,0.0146716031440228,0.0076247176441647,0.00544970030184584,0.00217501734231886,2.17501734231886,0.285258739250946,9.90000000000001,25.3,0,0,0,0,1,dry_priority_only,7.6247176441647,5.44970030184584,1.39910769801088,1,water_balance_risk
GZS130,GZS130实测数据.xlsx,4000,2500,0,75.1,0.131,160.425,5.13066821243878,0.0205480354926955,33.3733643791293,0.200880835876252,0,67.2,0.732,152.425,20.3475038078503,0.0958151738231211,60.3450459783406,0.138719299685575,0,80.1,0.933,147.525,45.0053555809163,0.273029193920639,78.4182733715387,0.302161321708665,0,73,0.948,138.225,33.9512432478431,0.202503550648596,71.7597275617526,0.217495762915623,0,0.0770827672297545,0.0786666666666667,0.00158389943691218,0.00738569874088611,0.0617948645972457,0.016871802069421,0.0125136794927915,0.00580179930397393,0.00435812257662953,0.0014436767273444,1.4436767273444,0.248832586531484,8,9.3,0,0,0,0,0,dual_side_fit_candidate,5.80179930397393,4.35812257662953,1.33126115706018,0,ok
GZS130,GZS130实测数据.xlsx,5000,2500,0,75.6,0.142,180.625,5.68024086385536,0.0201937881506999,35.2003692700451,0.176918435922483,0,67.4,0.72,171.925,20.1927626597315,0.0827694100644076,60.1811010337706,0.121231733797018,0,80.1,0.933,166.425,45.0053555809163,0.23052987851094,78.4182733715387,0.253841178130147,0,72.9,0.95,156.125,33.8772238842758,0.172352992243888,71.7092433391997,0.184109481268189,0,0.0963869163637838,0.0983333333333333,0.00194641696954948,0.00797788820535778,0.0799113739946942,0.0184219593386392,0.0137729644223059,0.00603147123580831,0.00464899491633325,0.00138247631947506,1.38247631947506,0.229210463819742,8.7,10.3,0,0,0,0,0,dual_side_fit_candidate,6.03147123580831,4.64899491633325,1.29737101123041,0,ok
GZS130,GZS130实测数据.xlsx,6000,2500,0,75.4,0.155,201.125,6.14813300907858,0.0196115603011993,36.6383380882791,0.152791641098912,0,68.5,0.675,190.325,19.8758578992512,0.0725242162488742,59.841952957175,0.113834515827322,0,80.1,0.932,184.325,44.9571183294898,0.200626246336576,78.3924056256965,0.220452742094148,0,73.3,0.953,172.825,34.5718472506226,0.155524753762878,72.1793510960104,0.165232652899075,0,0.115730347314954,0.118,0.00226965268504596,0.00839325273522705,0.0982820426923439,0.019717957307656,0.0152852904890394,0.00612360005018109,0.00443266681861662,0.00169093323156447,1.69093323156447,0.276133845729273,10.8,11.5,0,0,0,0,1,dry_priority_only,6.12360005018109,4.43266681861662,1.38147086184388,1,water_balance_risk
GZS130,GZS130实测数据.xlsx,7000,2500,0,75.5,0.17,222.525,6.77164962258744,0.0195204089167232,38.4134216816004,0.135605892707124,0,68.6,0.66,211.225,19.5201060305924,0.0633287554314298,59.4556545525231,0.101264450571377,0,80,0.933,204.625,44.8210522063419,0.174440179353189,78.3193113693009,0.190810132002038,0,73.1,0.955,190.325,34.3488873434127,0.136964041319801,72.0293409889658,0.144921668442603,0,0.135030810038361,0.137666666666667,0.00263585662830519,0.00855133314462725,0.11721896873665,0.020447697930017,0.016054783677511,0.00591547651632206,0.00439291425250601,0.00152256226381605,1.52256226381605,0.257386240924967,11.3,14.3,0,0,0,0,1,dry_priority_only,5.91547651632206,4.39291425250601,1.34659503379732,1,water_balance_risk
GZS130,GZS130实测数据.xlsx,8000,2500,0,74.8,0.189,242.425,7.30878385869421,0.0193336795377126,39.8321441213955,0.118039879008578,0,68.8,0.645,229.125,19.2453812007195,0.0570306382266143,59.153181386945,0.0931192306556718,0,80.1,0.932,222.525,44.9571183294898,0.157465723510279,78.3924056256965,0.172134401780947,0,73.3,0.951,208.125,34.4992935313138,0.123579990266031,72.13062687202,0.131291566102287,0,0.154349195451569,0.157333333333333,0.0029841378817644,0.00880263312636741,0.135929151194373,0.0214041821389601,0.0167981231814705,0.00581849524460301,0.00460605895748962,0.00121243628711339,1.21243628711339,0.208376261583782,13.3,14.4,0,0,0,0,0,dual_side_fit_candidate,5.81849524460301,4.60605895748962,1.2632263933882,0,ok
GZS130,GZS130实测数据.xlsx,9000,2500,0,75.8,0.196,261.525,7.90672674140387,0.0193895696078979,41.3087394519122,0.113432586962808,0,69.4,0.632,247.025,19.3615521931177,0.052893078334486,59.2815357284878,0.0880518782000847,0,80.5,0.932,239.525,45.6999839999463,0.146641940939341,78.7881867030878,0.160095224988295,0,74,0.95,223.725,35.5089365217859,0.11733645426921,72.8009529865314,0.124750769890858,0,0.173633324567056,0.177,0.00336667543294368,0.00918400103780255,0.154363793683493,0.0226362063165073,0.0181125002183649,0.00581732560485887,0.00452370609814243,0.00129361950671644,1.29361950671644,0.222373577582791,14.5,15.8,0,0,0,0,0,dual_side_fit_candidate,5.81732560485887,4.52370609814243,1.28596453409023,0,ok
GZS180,GZS180实测数据.xlsx,5000,2500,0,79.9,0.12,139.925,5.74114342638903,0.0266103206414157,35.3932484216513,0.323142243932191,0,70.2,0.854,135.025,27.0949120865219,0.156133895778542,66.6261416376739,0.191025000512713,0,80,0.949,128.725,45.5896876139533,0.341061787696117,78.7297706404054,0.3703036871851,0,71.2,0.957,121.625,31.7132980315928,0.219369967562059,70.1900600579695,0.232918063418938,0,0.0957844776700624,0.0983333333333333,0.00254885566327088,0.0149552036537396,0.0733249834090535,0.0250083499242799,0.0160852992319326,0.0124063479904687,0.0089230506923473,0.00348329729812141,3.48329729812141,0.280767337881985,4.9,7.1,0,0,0,0,1,dry_priority_only,12.4063479904687,8.9230506923473,1.3903706723429,1,water_balance_risk
