rpm,flow_L_min,available_dp_kPa,source,confidence
3000,50,29.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,200,16.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,350,9.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,500,2.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,650,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,800,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,950,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,1100,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
3000,1250,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,50,39.8,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,200,33.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,350,27.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,500,18.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,650,9.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,800,4,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,950,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,1100,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
4000,1250,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,50,43,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,200,37,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,350,26.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,500,16.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,650,11,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,800,6,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,950,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,1100,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
5000,1250,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,50,44,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,200,40,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,350,35,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,500,28,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,650,19.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,800,13,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,950,8,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,1100,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
6000,1250,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,50,45,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,200,43.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,350,36,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,500,28.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,650,20.5,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,800,15,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,950,7,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,1100,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
7000,1250,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,50,44,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,200,43,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,350,32,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,500,25,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,650,18,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,800,15,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,950,6.8,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,1100,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
8000,1250,0,DQ60 PDF digitized map; target 10 kW bench air-machine PPT/PDF digitized map,low
