model,flow_slpm,use_level,quality_label,dry_gain_direction_ok,wet_loss_direction_ok,transfer_limited_by_need_or_supply,dry_out_omega_meas_kgpkg,dry_out_omega_sim_kgpkg,dry_out_omega_err_kgpkg,dry_out_RH_meas,dry_out_RH_sim,dry_out_RH_err,dry_out_dewpoint_meas_C,dry_out_dewpoint_sim_C,dry_out_dewpoint_err_C,wet_out_omega_meas_kgpkg,wet_out_omega_sim_kgpkg,wet_out_omega_err_kgpkg,wet_out_RH_meas,wet_out_RH_sim,wet_out_RH_err,wet_out_dewpoint_meas_C,wet_out_dewpoint_sim_C,wet_out_dewpoint_err_C,water_transfer_meas_kg_s,water_transfer_sim_kg_s,water_transfer_err_kg_s,dry_side_gain_meas_g_s,dry_side_gain_sim_g_s,wet_side_loss_meas_g_s,wet_side_loss_sim_g_s,dry_dp_meas_kPa,dry_dp_sim_kPa,dry_dp_err_kPa,wet_dp_meas_kPa,wet_dp_sim_kPa,wet_dp_err_kPa,dry_sensible_heat_W,wet_sensible_heat_W,latent_heat_W
GZS120,1000,dry_priority_only,low_flow|water_balance_risk,1,1,1,0.0707303001651057,0.0633179421782368,-0.0074123579868689,0.896,0.585384817097251,-0.310615182902749,48.7015769455722,46.5463371019532,-2.155239843619,0.0690257546915054,0.0584729596252961,-0.0105527950662093,0.971,0.549677007501376,-0.421322992498624,47.1204261320901,43.9649785154782,-3.15544761661187,0.00119901000177569,0.00105456292198267,-0.000144447079793022,1.19901000177569,1.05456292198267,0.869003418754352,1.05456292198267,3.1,3.74998523011698,0.649985230116975,3.7,4.51744644207746,0.817446442077462,38.8367645565259,-34.8837354434739,2562.58790041788
GZS120,2049,dual_side_fit_candidate,low_flow,1,1,1,0.0677816210861983,0.0446845640238789,-0.0230970570623194,0.914,0.395846172841543,-0.518153827158457,51.3690897107301,43.4736716728443,-7.89541803788583,0.0775909691976612,0.0948872629803548,0.0172962937826936,0.97,0.922564665982149,-0.0474353340178512,51.9798081042217,55.3812871128163,3.40147900859461,0.00244002165271905,0.00151558222775282,-0.000924439424966226,2.44002165271905,1.51558222775282,2.12822502466716,1.51558222775282,3.8,5.67982674924954,1.87982674924954,5.6,6.84224378644108,1.24224378644108,290.748660264935,-269.671105195973,3682.86481343936
GZS120,3000,dual_side_fit_candidate,ok,1,1,1,0.0685061484725605,0.0415503808904939,-0.0269557675820666,0.873,0.382347844255621,-0.490652155744379,53.1912305978146,43.6292004502742,-9.56203014754042,0.0884961457977237,0.104590333804242,0.0160941880065185,0.971,0.899885384950668,-0.0711146150493318,54.7893528167138,57.8711170068363,3.0817641901225,0.00364867164033607,0.00206820059253144,-0.00158047104780463,3.64867164033607,2.06820059253144,2.89771272492312,2.06820059253144,4.5,7.08213885771479,2.58213885771479,8.9,8.53154906535037,-0.368450934649635,344.061993580052,-320.757255202781,5025.7274398514
GZS120,4000,dual_side_fit_candidate,ok,1,1,1,0.0739603463532744,0.0383238180398407,-0.0356365283134337,0.975,0.364195152702235,-0.610804847297765,60.5542593341781,47.7310859423633,-12.8231733918148,0.0976052039848843,0.120030428919544,0.0224252249346601,0.968,0.914202651288361,-0.0537973487116388,61.096075360252,65.3750050541288,4.27892969387679,0.00540279417721991,0.0026131718863865,-0.00278962229083341,5.40279417721991,2.6131718863865,4.13591330793875,2.6131718863865,5.7,8.36513552235541,2.66513552235541,12.7,10.0771201442256,-2.62287985577441,418.254536524369,-391.360511741441,6350.00768391919
GZS120,5000,dual_side_fit_candidate,ok,1,1,1,0.0744682133997245,0.0401542642450356,-0.0343139491546889,0.983,0.371320409239805,-0.611679590760195,62.6255579111996,50.2838259296931,-12.3417319815065,0.102210406436598,0.127165782973961,0.0249553765373632,0.967,0.866232939808037,-0.100767060191963,63.064208580578,67.9751856894168,4.91097710883884,0.00669518886445536,0.00334102414786148,-0.00335416471659388,6.69518886445536,3.34102414786148,5.44414764547372,3.34102414786148,5.40000000000001,9.51831,4.11830999999999,16.9,11.4663,-5.43369999999999,385.687469023985,-360.340052439129,8118.68867930339
GZS120,6000,dry_priority_only,water_balance_risk,1,1,1,0.0792432811632409,0.0376147544741846,-0.0416285266890563,0.748,0.343235878634177,-0.404764121365823,66.2759243614908,51.3394670964173,-14.9364572650735,0.143475587828236,0.157616203295846,0.0141406154676105,0.969,0.960878923259573,-0.00812107674042695,71.6702021752266,74.4419359524737,2.77173377724706,0.00850238260718465,0.00362293799770195,-0.0048794446094827,8.50238260718465,3.62293799770195,5.02008676556197,3.62293799770195,6.80000000000001,10.5775758839096,3.77757588390961,19.4,12.7423521988329,-6.65764780116712,613.556968110518,-577.003355936401,8803.73933441573
GZS120,7000,dual_side_fit_candidate,ok,1,1,1,0.0688106486255517,0.0343285903157932,-0.0344820583097585,0.682,0.346716171097406,-0.335283828902594,65.0775772208678,51.1575535399115,-13.9200236809563,0.120339683033846,0.151187850139006,0.0308481671051597,0.971,0.95380863289109,-0.0171913671089097,69.5273538504722,74.8161812883396,5.28882743786738,0.00833956812668987,0.00362910279945244,-0.00471046532723743,8.33956812668987,3.62910279945244,7.22088251467883,3.62910279945244,8.79999999999998,11.5646298824584,2.76462988245846,20.4,13.9314138351486,-6.46858616485144,630.580549310974,-598.188331972385,8818.71980266942
GZS120,7500,dry_priority_only,water_balance_risk,1,1,1,0.0585438450031627,0.0304429885281528,-0.0281008564750099,0.683,0.338946573956711,-0.344053426043289,63.5017897907482,50.4292649133152,-13.072524877433,0.11518098034382,0.130434971814073,0.0152539914702528,0.971,0.943492539968669,-0.0275074600313313,70.9213342559388,74.6717761943293,3.75044193839045,0.0076247176441647,0.00350666675111729,-0.00411805089304741,7.6247176441647,3.50666675111729,5.44970030184584,3.50666675111729,9.90000000000001,12.035745989113,2.13574598911297,25.3,14.4989472117389,-10.8010527882611,639.654121776012,-609.946111006608,8521.20020521501
GZS130,4000,dual_side_fit_candidate,ok,1,1,1,0.0958151738231211,0.0929697361640179,-0.00284543765910319,0.732,0.447180071727293,-0.284819928272707,60.3450459783406,59.7377995271569,-0.607246451183734,0.202503550648596,0.182690536629053,-0.0198130140195428,0.948,0.741819124488855,-0.206180875511145,71.7597275617526,69.9317253853299,-1.82800217642266,0.00580179930397393,0.0055824650952305,-0.000219334208743428,5.80179930397393,5.5824650952305,4.35812257662953,5.5824650952305,8,8.36513552235541,0.365135522355411,9.3,10.0771201442256,0.777120144225588,274.388670126158,-238.02591738385,13565.3901814101
GZS130,5000,dual_side_fit_candidate,ok,1,1,1,0.0827694100644076,0.0791471041602071,-0.00362230590420055,0.72,0.43994377609827,-0.28005622390173,60.1811010337706,59.2319785619758,-0.949122471794809,0.172352992243888,0.159421999175098,-0.0129309930687896,0.95,0.730856006147075,-0.219143993852925,71.7092433391997,70.2307604415513,-1.47848289764838,0.00603147123580831,0.00568232833957608,-0.000349142896232228,6.03147123580831,5.68232833957608,4.64899491633325,5.68232833957608,8.7,9.51831,0.818309999999997,10.3,11.4663,1.1663,265.008948813816,-236.054311870364,13808.0578651699
