case_id,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,current_A,current_density_A_cm2,vehicle_boundary_note,pH2O_caIn_bench_kPa,pH2O_caIn_vehicle_kPa,pH2O_caIn_vehicle_minus_bench_kPa,xH2O_caIn_bench,xH2O_caIn_vehicle,xH2O_caIn_vehicle_minus_bench,RH_ca_in_bench,RH_ca_in_vehicle,RH_ca_in_vehicle_minus_bench,omega_ca_in_bench_kgpkg,omega_ca_in_vehicle_kgpkg,omega_ca_in_vehicle_minus_bench_kgpkg,T_ca_in_bench_C,T_ca_in_vehicle_C,T_stack_meas_C,T_stack_sim_C,T_stack_err_C,V_cell_meas,V_cell_sim,V_cell_err,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,pO2_ca_in_kPa,lambda_O2_actual,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,Q_cool_bench_W,Q_cool_err_W,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_boundary_kPa,pressure_order_ok,hum_transfer_sim_kg_s,RH_hum_dry_out,RH_hum_wet_out,hum_wet_out_omega_kgpkg,model_name
bench_j0p10,120,1,0.000389143510758694,0,0.276376853587394,0.00785056121802108,38,0.1,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,15.1041914495239,17.8295188174185,2.72532736789461,0.106875580750213,0.118748419986544,0.0118728392363307,0.8,0.745039033511977,-0.0549609664880227,0.0747290078005827,0.0841493224077692,0.00942031460718648,58.9,63.9897890614903,61.1,61.8873038775674,0.787303877567439,0.80165625,0.817675975437507,0.0160197254375074,1.19622883030451,0.356111350921406,0.0223852922233609,5.62117222382755e-05,27.7201591111012,4.91459241694795,265.285006933996,240.757241653937,331.991884180485,0,-383.166666666667,623.923908320604,150.145314097138,139.218069769556,133.825,1,7.9137817819866e-05,0.745039033511977,0.191223951231664,0.0183540877832786,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p20,120,1,0.000212971426691522,0,0.122418362976696,0.00344605453280211,76,0.2,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,12.6001255467509,19.3378518427171,6.73772629596622,0.0806537080925004,0.11728461505065,0.0366309069581499,0.6,0.7449612937342,0.1449612937342,0.054785786720762,0.0829741940822989,0.0281884073615368,61.2,65.8061968428401,63.9,63.6187526078919,-0.281247392108078,0.7726375,0.792013184196012,0.0193756841960117,1.19679543394378,0.356106834461929,0.0485958184148113,7.95968710331128e-05,30.4910166504855,3.54997721868071,561.77596801765,350.330071310965,347.571495983013,0,585.199999999996,-234.869928689032,164.87969742976,151.640216761964,145.925,1,0.000112517961690212,0.7449612937342,0.247342637211471,0.0243993836931305,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p30,120,1,6.22685449069849e-06,0,0.00296122372266439,8.0441325641778e-05,114,0.3,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,13.2502512187837,19.9557495971155,6.70549837833187,0.0821338987682236,0.117485038062007,0.0353511392937835,0.6,0.723601204625886,0.123601204625886,0.055881209825274,0.0831348613847826,0.0272536515595086,62.3,67.1733672817563,65.35,65.0333805853842,-0.316619414615843,0.75044375,0.764366697516171,0.0139229475161715,1.19727320362717,0.356011861405971,0.0767819340171844,0.000112710687842045,31.4044786659946,2.9731471227948,893.091143730503,529.50005593917,360.300359453891,0,794.199999999996,-264.699944060827,169.857795735514,153.476254468464,147.425,1,0.000141663520350885,0.723601204625887,0.318232115064947,0.0332569539240233,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p40,120,1,0.000367883537663372,0,0.153909856536345,0.00409980554620504,152,0.4,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,14.1826668764259,21.2351651664323,7.05249829000649,0.0827339470697148,0.118026965721709,0.0352930186519941,0.6,0.715328372629213,0.115328372629213,0.0563262859019873,0.0835696584717321,0.0272433725697449,63.8,68.8534602255208,67.6,66.7456271300769,-0.854372869923125,0.73384375,0.738684761695285,0.00484101169528506,1.19643107444867,0.356369183709465,0.101217528559768,0.000159600484151469,33.2440353446355,2.38807659696766,1253.24665955707,706.626762982766,375.707225917279,0,1421.2,-714.57323701723,179.917911441542,161.489374450197,157.525,1,0.0001526160063305,0.715328372629213,0.403148944750749,0.0429439367391282,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p60,300,1,5.46234050995409e-05,0,0.0184366214490126,0.00045545006379788,228,0.6,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,17.5507092844266,25.741211952474,8.19050266804742,0.0917324410527981,0.128913278991181,0.037180837938383,0.6,0.689576350365458,0.0895763503654577,0.0630713083465451,0.0924185081873375,0.0293471998407924,68.6,74.2049612002694,72.9,72.1941174137725,-0.705882586227531,0.7102375,0.697907101073424,-0.0123303989265758,1.19328704944286,0.348601899565236,0.146458032273264,0.00032001653093608,36.4398647280051,1.98429552984753,2028.62689528415,1583.44419226491,424.746648002852,0,2173.6,-590.155807735088,199.678513756794,176.988222573193,174.825,1,0.000213070987671931,0.689576350365458,0.460442663570223,0.0560457683600698,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p70,300,1,9.05514607625335e-05,0,0.0263949898492797,0.000641662408793264,266,0.7,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,20.5016941338125,29.7808782824885,9.27918414867601,0.101833821600956,0.142078302507354,0.0402444809063984,0.6,0.69374675343799,0.0937467534379902,0.070804039746134,0.103419587262912,0.032615547516778,72.2,77.5654001974017,76.2,75.5123004530637,-0.687699546936287,0.701175,0.686129690155408,-0.0150453098445922,1.19024539651177,0.34279657443196,0.160865982411683,0.000453149512719231,37.6739728796709,1.8802306717326,2416.85603869858,1933.02890003277,454.610119737195,0,2508,-574.971099967235,209.608911121013,184.353143024911,183.325,1,0.000266955585370841,0.69374675343799,0.432235711316363,0.0587134432481416,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j0p90,300,1,0.000137974561328802,0,0.0304211534538155,0.000707801678884734,342,0.9,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,22.3153867427077,31.7026229040336,9.38723616132589,0.100826326635978,0.138164995013166,0.0373386683771886,0.6,0.673795068310589,0.0737950683105894,0.0700249898095114,0.100114409019213,0.0300894192097011,74.2,79.8120788788784,78.65,77.8025202913708,-0.847479708629237,0.68263125,0.656482669704093,-0.0261485802959069,1.18975456929661,0.33799837226516,0.194364912696095,0.00090861463125736,41.4290835372222,1.79201883121889,3269.6148313792,2760.84463852045,475.222011658713,0,3469.4,-708.555361479553,229.454811625858,201.338642001143,200.225,1,0.000315562197125121,0.673795068310589,0.493726975343705,0.0678656061898037,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p10,300,1,0.000119193185992406,0,0.0222890244572369,0.000481382788620088,418,1.1,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,22.5987996002102,31.3335964539222,8.73479685371198,0.0936446683941169,0.125694594114301,0.0320499257201841,0.6,0.630947111251813,0.0309471112518134,0.0645219158489714,0.0897792821044879,0.0252573662555166,74.5,81.1504490755675,79.5,79.3241107631347,-0.175889236865345,0.6660375,0.618862384821179,-0.047175115178821,1.19117668343083,0.332923443017909,0.237568983284788,0.0018218723069586,45.6605182968672,1.79251825121533,4247.80037031596,3735.02162286933,488.916519623655,0,3894.36666666666,-159.345043797338,249.283564458062,219.983361908457,216.225,1,0.000341587858607132,0.630947111251813,0.581671317204288,0.0764995650841479,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p30,300,1,6.58369913364432e-05,0,0.0106866096165703,0.000214049521454651,494,1.3,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,18.6746015215954,30.4180431554229,11.7434416338275,0.074304591750106,0.117386361731466,0.0430817699813599,0.5,0.588859280699643,0.0888592806996428,0.0501268293237177,0.0830557492739655,0.0329289199502477,74.3,82.1339895728357,80.45,80.5164823448022,0.0664823448021821,0.646875,0.579068599589112,-0.0678064004108879,1.19187582835151,0.329350277943373,0.279803896390146,0.00365305442888305,47.9146467463154,1.78830007309157,5334.65778884766,4824.19894542747,499.648124888849,0,4754.75,69.4489454274753,259.127574164088,228.433933489646,221.225,1,0.000368837098518311,0.588859280699643,0.652675572955575,0.0849916663647104,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
bench_j1p50,300,1,2.06164630233152e-05,0,0.0028897429602921,5.81800701610069e-05,570,1.5,humidifier dry outlet drives stack cathode inlet; bench inlet humidity is comparison only,17.3810721984241,30.8450397395156,13.4639675410915,0.069185280917202,0.119148890189508,0.0499636092723055,0.45,0.592443417300078,0.142443417300078,0.046416582173903,0.0844714964050371,0.0380549142311341,75.1,82.331354799769,80.6,80.6074821674664,0.0074821674663923,0.62398125,0.530458744128821,-0.0935225058711792,1.19274056937475,0.328552501748804,0.326404547436033,0.0073247760610949,47.7729286392054,1.79048061762986,6598.69625354515,6095.55936759265,500.467286115201,0,6086.08000000001,9.47936759264394,258.878112003026,224.562765161949,213.825,1,0.000434348471054112,0.592443417300078,0.643023390979693,0.0898796805352158,CEGR_Vehicle_10kW_GZS60_v03_stage1_pressurefix
