h_amb_W_K,h_scale,h_cool_fallback_W_K,T_stack_RMSE_C,Q_cool_RMSE_W,Q_cool_bias_W,steady_points,pressure_order_pass,score
0,0.9,752.4,1.02530913859449,874.316963148627,466.993267677945,13,13,3.05413902549851
3,0.9,752.4,0.89097398103551,722.152898759876,290.880977825015,13,13,2.50980836525027
6,0.9,752.4,0.814112721407339,666.200450477896,149.079592290454,13,13,2.2359613777374
9,0.9,752.4,0.761753049397052,638.17834237624,8.09965215692966,13,13,2.04296952544369
12,0.9,752.4,0.738512168305774,641.204820836645,-132.065956035317,13,13,2.10016138360025
0,1,836,0.631587135983955,805.06296702257,451.400679648179,13,13,2.512553477818
3,1,836,0.5783703518069,724.523380212041,308.507422908321,13,13,2.21252156597598
6,1,836,0.55687050404154,666.027575786654,166.373583147621,13,13,1.98874980550342
9,1,836,0.57008290137852,635.172999601923,24.9930935565141,13,13,1.85542475671628
12,1,836,0.615230019810251,635.486706337864,-115.640053110567,13,13,1.95558746435232
0,1.1,919.6,0.448913113003129,818.00328501972,465.21115504195,13,13,2.36404637606774
3,1.1,919.6,0.466405606810567,736.862259806273,322.180998530392,13,13,2.13343872554135
6,1.1,919.6,0.516199416841209,677.209983170321,179.850412928711,13,13,1.97852963093908
9,1.1,919.6,0.609875804318861,651.585441028829,3.67080791220542,13,13,1.91524917112384
12,1.1,919.6,0.770036359482007,713.364599054262,-178.800641532702,13,13,2.30404594251015
0,1.2,1003.2,0.551676874731009,872.453935227088,435.831903991756,13,13,2.55808388758024
3,1.2,1003.2,0.620206111385922,801.052466521254,293.828494380896,13,13,2.39860814105697
6,1.2,1003.2,0.701389754819762,750.561576301257,152.453797567711,13,13,2.2939851859629
9,1.2,1003.2,0.791095217098116,724.990324415554,11.7036729246333,13,13,2.248098069684
12,1.2,1003.2,0.886522275225214,726.608115576875,-128.425984184769,13,13,2.41679409688983
