case_id,case_mode,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,egr_fraction_cmd,current_A,current_density_A_cm2,flow_lambda_from_nlpm,cathode_stoich_table,flow_lambda_minus_table,V_cell_meas,V_cell_sim,p_ca_in_meas_kPa,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_meas_kPa,p_ca_out_sim_kPa,p_ca_out_boundary_error_kPa,pO2_in_meas_kPa,pO2_in_sim_kPa,RH_ca_in_meas,RH_ca_in_sim,T_stack_meas_C,T_stack_sim_C,lambda_O2_actual,xO2_ca_in,eta_act_V,eta_ohm_V,eta_con_V,E_rev_V,RH_hum_dry_out,RH_hum_wet_out,m_fresh_basis_kg_s,m_fresh_actual_kg_s,m_egr_used_kg_s,m_comp_total_kg_s,m_comp_total_error_kg_s,r_EGR_actual,m_wet_out_kg_s,m_vent_out_kg_s,humidifier_dry_T_C,humidifier_wet_T_C,fresh_node_m_kg_s,egr_node_m_kg_s,vent_node_m_kg_s,V_cell_err,p_ca_in_err_kPa,p_stack_margin_in_kPa,p_stack_margin_out_kPa,pO2_in_err_kPa,RH_ca_in_err,T_stack_err_C,pressure_order_ok,lambda_safe_ok,lambda_unacceptable,RH_ok,T_stack_ok,V_cell_ok,voltage_terms_ok,physical_ok,model_name,egr_risk_flag
bench_j0p10,egr_fixed_total_flow,120,1,1.93780536513755e-05,0,0.0344600417086696,0.000103297403700714,0,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.823621419414069,141.325,141.356667661902,136.924280677865,133.825,133.825,0,26.4432593913247,28.8748407303964,0.8,0.151107998431439,61.1,61.2539602188318,3,0.204269393216452,0.356326039052522,0.0107702273761816,4.75161798807407e-06,1.19072243746076,0.151107998431439,1,0.00065724075705451,0.00065724075705451,0,0.00065724075705451,0,0,0.000663924522374449,0.000663924522374449,63.4507715813993,59.703077337894,0.00065724075705451,0,0.000663924522374449,0.0219651694140693,0.0316676619016505,4.43238698403655,3.0992806778651,2.43158133907161,-0.648892001568561,0.153960218831777,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p10,egr_fixed_total_flow,120,1,1.94345311843591e-05,6.45314463554314e-05,0.0348334192922906,0.000146178288624371,0.05,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.82248427404547,141.325,143.138078198061,136.910118020304,133.825,133.825,0,26.4432593913247,28.6471308829627,0.8,0.191233276854479,61.1,61.2553854274921,2.94651378037031,0.200136338587161,0.357294132832824,0.0107713328460693,4.92431322309438e-06,1.19055466403759,0.191233276854479,1,0.00065724075705451,0.000624199518493271,3.30412385612392e-05,0.00065724075705451,0,0.05,0.000660824771224783,0.000627783532663544,63.4519819836256,59.7032909382869,0.00065724075705451,3.30412385612392e-05,0.000627783532663544,0.0208280240454698,1.81307819806096,6.22796017775744,3.08511802030353,2.20387149163797,-0.608766723145521,0.155385427492071,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p10,egr_fixed_total_flow,120,1,1.94943086516686e-05,0.00012428092384198,0.0352560011461946,0.000190737556470033,0.1,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.82119268684652,141.325,144.901583139252,136.896085644124,133.825,133.825,0,26.4432593913247,28.3605447765237,0.8,0.231715765569089,61.1,61.2570251557202,2.88864232580187,0.195722808282011,0.358393825478102,0.0107724226437095,5.12825462570201e-06,1.19036406322296,0.231715765569089,1,0.00065724075705451,0.000591465442967896,6.57753140866137e-05,0.00065724075705451,0,0.1,0.000657753140866137,0.000591977826779523,63.4533745923886,59.7035366927745,0.00065724075705451,6.57753140866137e-05,0.000591977826779523,0.01953643684652,3.57658313925225,8.00549749512814,3.07108564412411,1.91728538519896,-0.568284234430911,0.157025155720206,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p10,egr_fixed_total_flow,120,1,1.95566772965838e-05,0.000179507643878196,0.0357400311869256,0.000237235550375414,0.15,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.819711856723771,141.325,146.647444246259,136.882182657379,133.825,133.825,0,26.4432593913247,28.0060886027963,0.8,0.272534086810641,61.1,61.2589116417445,2.82558936923382,0.190975633750336,0.359654781511216,0.010773497451869,5.37288683611255e-06,1.19014550857369,0.272534086810641,1,0.00065724075705451,0.000559034366122502,9.8206390932008e-05,0.00065724075705451,0,0.15,0.000654709272880054,0.000556502881948046,63.4549767765648,59.7038194311585,0.00065724075705451,9.8206390932008e-05,0.000556502881948046,0.0180556067237715,5.32244424625893,9.76526158888015,3.05718265737877,1.56282921147157,-0.527465913189359,0.158911641744496,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p10,egr_fixed_total_flow,120,1,1.96216739555277e-05,0.000230513211022298,0.0363012072993527,0.000286024297256493,0.2,38,0.1,4.91459241694795,5,-0.0854075830520529,0.80165625,0.817995498061614,141.325,148.375918792229,136.868408555821,133.825,133.825,0,26.4432593913247,27.5724914860649,0.8,0.313667532380673,61.1,61.2610959273658,2.75635995730124,0.185828614983505,0.361116446816828,0.0107745567945228,5.67185075124857e-06,1.18989217352372,0.313667532380673,1,0.00065724075705451,0.000526902192439622,0.000130338564614888,0.00065724075705451,0,0.2,0.000651692823074441,0.000521354258459553,63.456831878584,59.7041468021031,0.00065724075705451,0.000130338564614888,0.000521354258459553,0.016339248061614,7.05091879222852,11.5075102364072,3.04340855582134,1.12923209474016,-0.486332467619327,0.161095927365757,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p20,egr_fixed_total_flow,120,1,0.000332342466815572,0,0.193921526048968,0.000912848154256171,0,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.773970014316339,156.225,156.242108608493,152.117169258995,145.925,145.925,0,30.0894111979557,32.0531608735804,0.6,0.119672632116994,63.9,64.7666368162457,3,0.205150590702141,0.390956038724074,0.0250773212717989,8.94121436170753e-06,1.19001231552657,0.119672632116994,1,0.00131448151410902,0.00131448151410902,0,0.00131448151410902,0,0,0.00132925076126387,0.00132925076126387,66.7811084799862,62.1849014964682,0.00131448151410902,0,0.00132925076126387,0.00133251431633896,0.0171086084931176,4.12493934949848,6.19216925899462,1.96374967562474,-0.480327367883006,0.866636816245652,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p20,egr_fixed_total_flow,120,1,0.000312984065613753,0.000308417673579697,0.193390579399278,0.00115617896015183,0.05,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.774754007838011,156.225,158.784409528729,152.120893759398,145.925,145.925,0,30.0894111979557,31.8976403251071,0.6,0.161541170067489,63.9,64.7650042194765,2.94635540943086,0.200886475062502,0.392267862434435,0.0227985508897052,9.39354544060499e-06,1.18982981470759,0.161541170067489,1,0.00131448151410902,0.00124833441974875,6.61470943602712e-05,0.00131448151410902,0,0.05,0.00132294188720542,0.00125679479284515,66.7797222518735,62.1846568679777,0.00131448151410902,6.61470943602712e-05,0.00125679479284515,0.00211650783801143,2.55940952872919,6.66351576933147,6.19589375939771,1.8082291271514,-0.438458829932511,0.865004219476468,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p20,egr_fixed_total_flow,120,1,0.000110624514551128,0.0012193595362362,0.193800825339366,0.00106039657608345,0.1,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.774228848813822,156.225,161.302347420748,152.108200838271,145.925,145.925,0,30.0894111979557,31.6751927698064,0.6,0.203250173090285,63.9,64.76781363856,2.88830996937662,0.196371554886201,0.393530584135253,0.0218589967307264,9.86603218755732e-06,1.18962829571199,0.203250173090285,1,0.00131448151410902,0.00118278929355517,0.000131692220553846,0.00131448151410902,0,0.1,0.00131692220553846,0.00118522998498461,66.7821096057287,62.1850781657168,0.00131448151410902,0.000131692220553846,0.00118522998498461,0.00159134881382161,5.07734742074774,9.19414658247683,6.18320083827089,1.5857815718507,-0.396749826909715,0.867813638560044,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p20,egr_fixed_total_flow,120,1,0.000110001569986418,0.00176160783496471,0.194781452196906,0.00130505077659859,0.15,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.772716703486802,156.225,163.792998059615,152.080498375918,145.925,145.925,0,30.0894111979557,31.3740423782007,0.6,0.244916633231507,63.9,64.771772517489,2.82508814813003,0.191546908292023,0.394813257201392,0.0218631941157084,1.03835439664534e-05,1.18940353834787,0.244916633231507,1,0.00131448151410902,0.00111786667991947,0.000196614834189545,0.00131448151410902,0,0.15,0.00131076556126364,0.00111415072707409,66.7854719596547,62.185671522292,0.00131448151410902,0.000196614834189545,0.00111415072707409,7.92034868021263e-05,7.56799805961543,11.7124996836978,6.15549837591757,1.28463118024498,-0.355083366768493,0.871772517489028,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
bench_j0p20,egr_fixed_total_flow,120,1,0.000109272314250841,0.00226160370465323,0.195914055364497,0.00155725189959355,0.2,76,0.2,3.54997721868071,3.6,-0.0500227813192899,0.7726375,0.77096625397148,156.225,166.257858199551,152.053060107848,145.925,145.925,0,30.0894111979557,30.9777973408574,0.6,0.287138291899484,63.9,64.7763909352506,2.75568738359646,0.186323808548504,0.396298666721609,0.0218672910040629,1.10221890970427e-05,1.18914323388625,0.287138291899484,1,0.00131448151410902,0.00105354874755871,0.000260932766550307,0.00131448151410902,0,0.2,0.00130466383275154,0.00104373106620123,66.7893945041943,62.1863637360343,0.00131448151410902,0.000260932766550307,0.00104373106620123,-0.00167124602851998,10.0328581995508,14.2047980917032,6.12806010784757,0.888386142901716,-0.312861708100516,0.876390935250619,1,1,0,1,1,1,1,1,CEGR_Vehicle_10kW_GZS60_v03_audit,ok
