case_id,stop_time_s,is_steady,dV_cell_30s,dp_ca_in_30s_kPa,dT_stack_30s_C,dRH_ca_in_30s,current_A,current_density_A_cm2,V_cell_meas,V_cell_sim,p_ca_in_meas_kPa,p_ca_in_sim_kPa,p_stack_internal_kPa,p_ca_out_sim_kPa,pO2_in_meas_kPa,pO2_in_sim_kPa,RH_ca_in_meas,RH_ca_in_sim,T_stack_meas_C,T_stack_sim_C,lambda_mem,pO2_ca_kPa,pH2_an_kPa,pAn_kPa,lambda_O2_actual,xO2_ca_in,E_rev_V,eta_act_V,eta_ohm_V,eta_con_V,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,Q_net_stack_W,RH_hum_dry_out,RH_hum_wet_out,V_cell_err,p_ca_in_err_kPa,pO2_in_err_kPa,RH_ca_in_err,T_stack_err_C,p_stack_margin_in_kPa,p_stack_margin_out_kPa,pressure_order_ok,model_name,stage_weight
bench_j0p10,300,1,2.06736880581371e-05,0,0.0159082349616,0.000504487463333536,38,0.1,0.80165625,0.808493256854639,141.325,141.32494981112,139.052760472877,133.825,26.4432593913247,25.6398397141201,0.8,0.823391159277215,61.1,60.8561385557497,7.54125250999794,20.5734255360407,144.253062157383,149.856103792039,4.91459241694795,0.181424721879524,1.19228127246168,0.374211769685854,0.00957178259875844,4.46332242522258e-06,270.28454233531,-29.5010717964068,322.705705403573,0,-22.9200912718562,0.823391159277215,0.226253172334912,0.00683700685463928,-5.01888800386041e-05,-0.803419677204658,0.0233911592772146,-0.243861444250264,2.27218933824309,5.22776047287687,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p20,300,1,8.48223106785229e-05,0,0.0631836033825834,1.47568273377585e-05,76,0.2,0.7726375,0.786377276367453,156.225,156.225080165451,153.41691809954,145.925,30.0894111979557,28.7380012933111,0.6,0.700062392902213,63.9,64.8721628931123,7.2690157756538,20.4873966698927,161.058544806118,167.367771851201,3.54997721868071,0.183952546306112,1.19038204813711,0.384944186924736,0.01905021592528,1.0368919636854e-05,567.462116943038,117.607239233146,358.847645893375,0,91.0072318165177,0.700062392902213,0.434754318463377,0.0137397763674532,8.0165450668801e-05,-1.35140990464459,0.100062392902213,0.972162893112319,2.80816206591089,7.49191809953976,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p30,300,1,0.000211690606563564,0,0.151474007087458,0.000110016034299831,114,0.3,0.75044375,0.767753178051947,161.325,161.325192981461,156.846416266134,147.425,31.0216598696648,29.9772414347945,0.6,0.599086957198385,65.35,67.6882022614148,7.06612287668827,19.1729900610213,174.112190344673,181.531774946493,2.9731471227948,0.185818723540838,1.1886171066132,0.392266929138666,0.0285772706223689,1.97288002155647e-05,885.16353074204,282.863826209383,384.189458147805,0,218.110246384852,0.599086957198385,0.625825877788168,0.0173094280519474,0.000192981461509589,-1.04441843487033,-0.000913042801615416,2.33820226141478,4.47877671532771,9.42141626613378,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p40,300,1,0.000340345481433579,0,0.240269782668065,0.000250153243090301,152,0.4,0.73384375,0.754338112936791,171.425,171.42535253538,167.562069160685,157.525,32.9422687893888,31.533460063361,0.6,0.595810615822756,67.6,71.3206024222821,7.06091324353456,17.8694362449352,183.012717600173,192.343138193239,2.38807659696766,0.183948637683874,1.18571666695358,0.394674348292812,0.0366670122281519,3.71934958204316e-05,1212.84347934945,450.099893818787,416.878504498918,0,345.865081031742,0.595810615822756,0.686552986803388,0.0204943629367911,0.000352535379846586,-1.40880872602775,-0.00418938417724413,3.72060242228207,3.86328337469445,10.0370691606854,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1.5
bench_j0p60,300,1,0.000582066339736897,0,0.419633704670559,0.000569607835432251,228,0.6,0.7102375,0.736376289456211,191.325,191.326103224365,187.618134909103,174.825,36.4057139049126,34.733623022236,0.6,0.530724861777206,72.9,79.4394889657081,6.97682052078179,16.337457055439,199.249598263227,215.353056703888,1.98429552984753,0.181541475192773,1.17936338201153,0.391649669335428,0.0512009977412442,0.000136425478651279,1884.78995108133,791.115828347583,489.94332607544,0,603.730796658304,0.530724861777206,0.888002928920407,0.0261387894562111,0.00110322436512433,-1.67209088267665,-0.0692751382227939,6.53948896570813,3.70796831526229,12.7931349091028,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j0p70,300,0,0.000682782337748544,0,0.508104360158924,0.000715864663954513,266,0.7,0.701175,0.730526506697332,201.325,201.326889639653,197.836795396154,183.325,37.8824825789663,36.1930645420721,0.6,0.495748775457206,76.2,84.1413507059119,6.97479472234196,15.6156544504483,202.029588469982,224.923452518576,1.8802306717326,0.179772630505804,1.17520405278937,0.387543466552272,0.0569917134628671,0.000142366076902169,2223.81828501667,960.706916941373,532.257539276631,0,730.853828798664,0.495748775457206,0.978987843540485,0.0293515066973324,0.00188963965271682,-1.68941803689418,-0.104251224542794,7.94135070591189,3.49009424349873,14.511795396154,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j0p90,300,0,0.00101737057715301,0,0.701084465205113,0.00100244356596996,342,0.9,0.68263125,0.718034858193945,221.325,221.327777708204,218.488022721975,200.225,41.6925139774027,39.7616365402529,0.6,0.450743286304583,78.65,89.706178047677,6.95934154616685,15.6327347288945,210.289975019734,244.812037809662,1.79201883121889,0.17965045757914,1.17107373035201,0.383323336353684,0.0695634314999694,0.000152104304412642,2927.54923848911,1337.52658787684,582.335448685054,0,1007.68720192721,0.450743286304583,1,0.0354036081939454,0.00277770820360956,-1.93087743714984,-0.149256713695417,11.056178047677,2.83975498622885,18.2630227219747,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p10,300,0,0.00401363520580411,0,0.960175615631684,0.0122695674952726,418,1.1,0.6660375,0.689378937269351,241.325,241.328406099127,238.274430148503,216.225,45.8231389837559,44.170318870506,0.6,0.379757262634365,79.5,93.9741222606101,5.68054874574932,17.3467890158683,221.957852955683,269.529493934708,1.79251825121533,0.183029920035037,1.16910375644013,0.377238607626625,0.102326292331171,0.000159919212986879,3769.76653507482,1750.99338681846,620.739177531951,1.89329375008419,1396.14067697433,0.379757262634365,1,0.0233414372693511,0.00340609912666423,-1.65282011324998,-0.220242737365635,14.4741222606101,3.05397595062374,22.0494301485029,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p30,300,0,0.00228692938707598,0,1.27090040347494,0.000213985855302967,494,1.3,0.646875,0.65025400909436,251.325,251.32885331232,246.896830837587,221.225,48.7402584812258,46.8303041230453,0.5,0.32874797968587,80.45,98.9594455199744,4.66625774857157,18.2383867874117,222.327031643796,286.004249891718,1.78830007309157,0.186330791335169,1.16529492143656,0.370363977272406,0.144510488423514,0.000166446646282787,4764.42206465628,2239.14921895631,665.598289013279,23.6412321670541,1836.03332451964,0.32874797968587,1,0.00337900909435962,0.00385331232016028,-1.90995435818049,-0.17125202031413,18.5094455199744,4.43202247473315,25.671830837587,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1
bench_j1p50,300,0,0.00141410414745324,0,1.55380764182101,2.74963224987101e-05,570,1.5,0.62398125,0.615828047351389,251.225,251.229718924275,243.125801881402,213.825,48.9903028744302,47.6770938804642,0.45,0.279769165435039,80.6,103.85749579587,4.20629458695713,18.2993382475583,214.504685127114,293.975558299739,1.79048061762986,0.189774896396055,1.16058267054833,0.364517473328878,0.180065098449794,0.000172051418272013,5811.37484569929,2813.55806758052,709.672914117559,60.7416006302822,2227.40226337093,0.279769165435039,1,-0.00815320264861075,0.00471892427506759,-1.31320899396592,-0.170230834564961,23.2574957958697,8.10391704287323,29.3008018814019,1,CEGR_Vehicle_10kW_GZS60_v03_audit,1
