condition,case_id,boundary_case_index,boundary_current_A,boundary_current_density_A_cm2,current_A,current_density_command_A_cm2,egr_fraction_cmd,air_flow_scale,cathode_flow_nlpm_cmd,V_cell_sim,P_stack_sim_W,pO2_stack_kPa,p_stack_internal_kPa,T_stack_C,Q_net_stack_W,Q_gen_W,Q_cool_W,Q_amb_W,Q_gas_W,lambda_O2_actual,m_bench_air_in_kg_s,m_egr_return_kg_s,m_bench_out_kg_s,m_separator_gas_kg_s,alpha_EGR_actual,dq60_speed_rpm,dq60_flow_lpm,dq60_dp_kPa,dq60_pressure_ratio,dq60_power_W,dq60_map_flow_clamped,p_dq60_in_kPa,T_dq60_in_C,p_dq60_out_kPa,T_dq60_out_C,T_ca_in_C,p_ca_in_kPa,xO2_ca_in,pO2_ca_in_kPa,RH_ca_in,T_separator_C,liquid_drain_separator_kg_s,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,h_cool_effective_W_K,condition_target,V_cell_target,V_cell_target_error,current_density_solved_A_cm2,air_flow_control,lookup_quality,study_type,oxygen_ok,thermal_ok,humidity_ok,pressure_order_ok,dq60_map_ok,normal_operation_ok,risk_label,life_model_version,life_equivalent_duration_h,life_voltage_factor,life_humidity_factor,life_temperature_factor,life_current_factor,life_cycling_factor,life_damage_rate_mV_h,life_delta_V_deg_mV,life_damage_index,life_projected_to_EOL_h,life_ECSA_ratio_proxy,life_high_potential_exposure_V_h,life_dry_exposure_h,life_high_potential_margin_mV,life_interpretation_status,life_group_key,life_rate_ratio_to_noEGR,life_benefit_vs_noEGR_pct,life_source_file
constant_voltage_fixed_flow,j0.086_boundary_038A,1,38,0.1,32.68,0.086,0,1,49.7,0.800103666948694,418.358205374133,18.8962735024693,136.505385686156,61.673806559088,-180.564022697727,237.333314625867,85.81886152991,330.067870312246,2.01060548143814,3.43170968879439,0.001071035,0,0.00065903447173561,0,0,3000,57.0499440999394,29,1.25817939016247,39.0963808647116,1,112.325,58.9,141.325,95.2217555982538,58.9,141.325,0.187025321958766,26.4313536258226,0.8,64.673806559088,0,5.5,61.6,60.6,1162.7538607718,V_cell,0.8,0.000103666948693459,0.086,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45614815135942,1,1.0461518529776,1,1,0.0182802250410549,0.0182802250410549,0.000243736333880732,4102.79413035454,0.999902505466448,0.000103666948693903,0,0.103666948693903,usable,constant_voltage_fixed_flow|V=0.8,1,0,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.086_boundary_038A,1,38,0.1,32.68,0.086,0.05,1,49.7,0.800033979472647,418.321767186658,18.7110300863001,136.488331693468,61.6738306831702,-180.561535714204,237.369752813342,85.8467538353788,330.068087379246,2.01644731292198,3.41546051130688,0.001071035,3.30515394610572e-05,0.000627979249760087,3.30515394610572e-05,0.05,3000,57.1168931689418,29,1.25817939016247,39.1173612246975,1,112.325,59.078188578565,141.325,95.4194355847424,58.9,141.325,0.185365404851392,26.1967658406229,0.808203101239751,64.6738306831702,0,5.5,61.6,60.6,1162.75171987125,V_cell,0.8,3.39794726468279e-05,0.086,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45536494926648,1,1.0461525298687,1,1,0.0182704046826883,0.0182704046826883,0.000243605395769177,4104.99938575879,0.999902557841692,3.39794726469389e-05,0,0.0339794726469389,usable,constant_voltage_fixed_flow|V=0.8,0.999462787884475,0.0537212115525154,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.086_boundary_038A,1,38,0.1,32.68,0.086,0.1,1,49.7,0.799958165521209,418.28212558773,18.5117840215811,136.470936632898,61.6738573037564,-180.558872865936,237.40939441227,85.8775328127371,330.068326911265,2.02240755420325,3.39742571555435,0.001071035,6.6306703981693e-05,0.000596760335835237,6.6306703981693e-05,0.1,3000,57.185224008929,29,1.25817939016247,39.1384710415598,1,112.325,59.2574766490741,141.325,95.6183353326456,58.9,141.325,0.183605305344813,25.9480197778557,0.81650782388985,64.6738573037564,0,5.5,61.6,60.6,1162.74936187662,V_cell,0.8,-4.18344787905811e-05,0.086,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45453497017256,1,1.04615327680892,1,1,0.0182599983033503,0.0182599983033503,0.000243466644044671,4107.33882632613,0.999902613342382,0,0,-0.0418344787910252,usable,constant_voltage_fixed_flow|V=0.8,0.998893518123593,0.110648187640738,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.086_boundary_038A,1,38,0.1,32.68,0.086,0.15,1,49.7,0.799875366581963,418.238831678377,18.2968396656968,136.45318655364,61.673886781599,-180.556010686571,237.452688321623,85.9116155994945,330.068592154605,2.02849125409496,3.37737207896327,0.001071035,9.97717284774599e-05,0.000565373128038939,9.97717284774599e-05,0.15,3000,57.2550556229354,29,1.25817939016247,39.159714306517,1,112.325,59.4378981093991,141.325,95.8184924478016,58.9,141.325,0.181733304067868,25.6834591973914,0.824917664079816,64.673886781599,0,5.5,61.6,60.6,1162.74675578279,V_cell,0.8,-0.000124633418036701,0.086,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45363199592679,1,1.04615410392066,1,1,0.0182486769375502,0.0182486769375502,0.00024331569250067,4109.88699381668,0.999902673723,0,0,-0.124633418037035,usable,constant_voltage_fixed_flow|V=0.8,0.998274195014898,0.172580498510233,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.085_boundary_038A,1,38,0.1,32.3,0.085,0.2,1,49.7,0.80010352034118,413.493499312322,18.1260659680686,136.454570257148,61.6715265588064,-180.681085321093,234.573700687678,83.1824180465229,330.047352650964,2.02501531128399,3.38247021207179,0.001071035,0.000132981068137859,0.000531924272551435,0.000132981068137859,0.2,3000,57.3245869476342,29,1.25817939016247,39.1807605575222,1,112.325,59.6166463078692,141.325,96.0167932690046,58.9,141.325,0.179820672989728,25.4131566102733,0.833168382512342,64.6715265588064,0,5.5,61.6,60.6,1162.95847912406,V_cell,0.8,0.000103520341180108,0.085,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45614647947535,1,1.04608788060291,1,1,0.0182790862147411,0.0182790862147411,0.000243721149529881,4103.04974323697,0.999902511540188,0.000103520341179997,0,0.103520341179997,usable,constant_voltage_fixed_flow|V=0.8,0.999937701734459,0.00622982655414939,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.085_boundary_038A,1,38,0.1,32.3,0.085,0.25,1,49.7,0.800005171261677,413.442672508035,17.8767758215189,136.436275474674,61.6715619880231,-180.677810496476,234.624527491965,83.2233823385119,330.047671448418,2.03128420151158,3.35770645507513,0.001071035,0.000166761738776149,0.000500285216328448,0.000166761738776149,0.25,3000,57.397302590852,29,1.25817939016247,39.2021958736965,1,112.325,59.7986988809787,141.325,96.2187599185077,58.9,141.325,0.177708000879924,25.1145832243553,0.841728403473488,64.6715619880231,0,5.5,61.6,60.6,1162.95514752444,V_cell,0.8,5.17126167742799e-06,0.085,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45504790902991,1,1.04608887465458,1,1,0.0182653131567073,0.0182653131567073,0.000243537508756097,4106.14367005577,0.999902584996498,5.1712616769839e-06,0,0.0051712616769839,usable,constant_voltage_fixed_flow|V=0.8,0.999184261445682,0.0815738554317602,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.085_boundary_038A,1,38,0.1,32.3,0.085,0.3,1,49.7,0.799896308180453,413.386412067658,17.6051247440487,136.417585880005,61.6716017105769,-180.674243073852,234.680787932342,83.2693109799295,330.048028880054,2.03769114621109,3.32997494248284,0.001071035,0.000200770437937684,0.000468464355187929,0.000200770437937684,0.3,3000,57.4719674154717,29,1.25817939016247,39.2237762465601,1,112.325,59.9819834370134,141.325,96.4220933131186,58.9,141.325,0.175437496566094,24.7937042022033,0.850403244682707,64.6716017105769,0,5.5,61.6,60.6,1162.95141986155,V_cell,0.8,-0.000103691819547058,0.085,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45386032418925,1,1.04608998916701,1,1,0.0182504247693776,0.0182504247693776,0.000243338996925035,4109.49339249585,0.99990266440123,0,0,-0.103691819547058,usable,constant_voltage_fixed_flow|V=0.8,0.998369808270396,0.163019172960432,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.084_boundary_038A,1,38,0.1,31.92,0.084,0.35,1,49.7,0.800102998001789,408.628603139474,17.3814013994381,136.418653733841,61.6692515293326,-180.79864985348,231.814276860526,80.5517244264178,330.02687973699,2.03432255059861,3.3276001710275,0.001071035,0.000234161303954009,0.000434870993057445,0.000234161303954009,0.35,3000,57.5451069201583,29,1.25817939016247,39.2449033697935,1,112.325,60.1614184924967,141.325,96.6211561241539,58.9,141.325,0.173160533332543,24.4719123732217,0.858711502332969,64.6692515293326,0,5.5,61.6,60.6,1163.17610892893,V_cell,0.8,0.000102998001789367,0.084,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45614052364638,1,1.04602405073023,1,1,0.0182778961077243,0.0182778961077243,0.000243705281436324,4103.31690025882,0.999902517887425,0.000102998001788923,0,0.102998001788923,usable,constant_voltage_fixed_flow|V=0.8,0.999872598213352,0.0127401786648162,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.084_boundary_038A,1,38,0.1,31.92,0.084,0.4,1,49.7,0.7999698820117,408.560618141016,17.0595449156382,136.399354345452,61.6693005903708,-180.794449485953,231.882261858984,80.6084510871725,330.027321202327,2.04093905543745,3.29280107165236,0.001071035,0.000268516619977823,0.000402774929966734,0.000268516619977823,0.4,3000,57.6236864564207,29,1.25817939016247,39.2666955425711,1,112.325,60.3465018892393,141.325,96.8264851281899,58.9,141.325,0.170540159790555,24.1015880824001,0.867551752877342,64.6693005903708,0,5.5,61.6,60.6,1163.17120324433,V_cell,0.8,-3.01179882997715e-05,0.084,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.45466279112713,1,1.04602542719027,1,1,0.0182593712100785,0.0182593712100785,0.000243458282801047,4107.47988729222,0.99990261668688,0,0,-0.0301179882999936,usable,constant_voltage_fixed_flow|V=0.8,0.99885921366233,0.114078633766979,condition_study_constant_voltage_solved.csv
constant_voltage_fixed_flow,j0.083_boundary_038A,1,38,0.1,31.54,0.083,0.45,1,49.7,0.800156410995849,403.790931244945,16.7883588949938,136.400265439399,61.6669600131359,-180.918227576207,229.027628755055,77.9019696347747,330.006258482775,2.03762821371234,3.28356711812532,0.001071035,0.00030199833925216,0.000369109081308196,0.00030199833925216,0.45,3000,57.6998770818021,29,1.25817939016247,39.2878546556011,1,112.325,60.5262086376961,141.325,97.0258493517161,58.9,141.325,0.167936943040482,23.7336884751962,0.875878858696112,64.6669600131359,0,5.5,61.6,60.6,1163.41030992101,V_cell,0.8,0.000156410995848844,0.083,fixed_nearest_bench_reference,good,constant_voltage_fixed_flow,1,1,1,1,0,1,dq60_map_extrapolation,pemfc_life_v01,1,1.4567562606896,1,1.04595976135451,1,1,0.0182845011693911,0.0182845011693911,0.000243793348925214,4101.83462513885,0.99990248266043,0.000156410995848955,0,0.156410995848955,usable,constant_voltage_fixed_flow|V=0.8,1.00023392098984,-0.023392098984476,condition_study_constant_voltage_solved.csv
