case_id,case_index,current_A,current_density_A_cm2,coolant_flow_L_min,coolant_inlet_temp_C,coolant_outlet_temp_C,coolant_deltaT_C,Q_cool_bench_signed_W,Q_cool_bench_fit_W,T_stack_fit_C,T_cool_drive_C,T_ca_out_relation_C,T_ca_out_bench_C,T_ca_out_relation_err_C,Q_gen_bench_W,Q_cool_prior_W,Q_cool_prior_err_W,h_cool_prior_W_K,h_cool_bench_fit_W_K,h_cool_fit_valid,V_cell_bench,model_name
bench_038A,1,38,0.1,5.5,61.6,60.6,-1,-383.166666666667,383.166666666667,53,-8.6,56,56,0,274.9984,0,-383.166666666667,836,3831.66666666667,0,0.8017,CEGR_TestBench_10kW_v01
bench_076A,2,76,0.2,6,63.2,64.6,1.4,585.199999999996,585.199999999996,59.3,-3.90000000000001,62.3,62.3,0,585.3824,0,-585.199999999996,836,5851.99999999996,0,0.7726,CEGR_TestBench_10kW_v01
bench_114A,3,114,0.3,6,64.4,66.3,1.9,794.199999999996,794.199999999996,61.4,-3,64.4,64.4,0,918.5664,0,-794.199999999996,836,7941.99999999996,0,0.7504,CEGR_TestBench_10kW_v01
bench_152A,4,152,0.4,6,65.9,69.3,3.4,1421.2,1421.2,64.5,-1.40000000000001,67.5,67.5,0,1265.1264,0,-1421.2,836,14212,0,0.7338,CEGR_TestBench_10kW_v01
bench_228A,5,228,0.6,6,70.3,75.5,5.2,2173.6,2173.6,70.7,0.400000000000006,73.7,73.7,0,1983.7824,334.400000000005,-1839.2,836,5433.99999999993,0,0.7102,CEGR_TestBench_10kW_v01
bench_266A,6,266,0.7,6,73.2,79.2,6,2508,2508,74.1,0.899999999999991,77.1,77.1,0,2352.7168,752.399999999993,-1755.60000000001,836,2786.66666666669,0,0.7012,CEGR_TestBench_10kW_v01
bench_342A,7,342,0.9,6,74.5,82.8,8.3,3469.4,3469.4,77.5,3,80.5,80.5,0,3126.7008,2508,-961.399999999999,836,1156.46666666667,1,0.6826,CEGR_TestBench_10kW_v01
bench_418A,8,418,1.1,6.5,75.2,83.8,8.6,3894.36666666666,3894.36666666666,78.8,3.59999999999999,81.8,81.8,0,3932.544,3260.4,-633.966666666669,905.666666666667,1081.76851851852,1,0.666,CEGR_TestBench_10kW_v01
bench_494A,9,494,1.3,7.5,75.9,85,9.1,4754.75,4754.75,79.6,3.69999999999999,82.6,82.6,0,4798.5184,3866.49999999999,-888.250000000009,1045,1285.06756756757,1,0.6469,CEGR_TestBench_10kW_v01
bench_570A,10,570,1.5,9.1,75.8,85.4,9.6,6086.08000000001,6086.08000000001,80.1,4.3,83.1,83.1,0,5745.6,5452.11333333336,-633.966666666647,1267.93333333334,1415.36744186047,1,0.624,CEGR_TestBench_10kW_v01
bench_646A,11,646,1.7,10,75.9,85.4,9.5,6618.33333333333,6618.33333333333,80,4.09999999999999,83,83,0,6740.1056,5712.66666666665,-905.666666666688,1393.33333333333,1614.22764227642,1,0.6019,CEGR_TestBench_10kW_v01
bench_684A,12,684,1.8,11.1,75.7,85,9.3,7191.69,7191.69,80.2,4.5,83.2,83.2,0,7264.6272,6959.7,-231.989999999998,1546.6,1598.15333333333,1,0.5902,CEGR_TestBench_10kW_v01
bench_722A,13,722,1.9,11.5,75.8,85.2,9.4,7530.96666666667,7530.96666666667,80.4,4.60000000000001,83.4,83.4,0,7798.7552,7370.73333333333,-160.23333333334,1602.33333333333,1637.16666666666,1,0.5789,CEGR_TestBench_10kW_v01
