runtime_variable,position,parameter,value_case1,source_owner
PhysicalParam_simplified,1,R,8.314462618,physical_constants_and_global_boundary
PhysicalParam_simplified,2,F,96485.33212,physical_constants_and_global_boundary
PhysicalParam_simplified,3,M_O2,0.031998,physical_constants_and_global_boundary
PhysicalParam_simplified,4,M_N2,0.0280134,physical_constants_and_global_boundary
PhysicalParam_simplified,5,M_H2O,0.01801528,physical_constants_and_global_boundary
PhysicalParam_simplified,6,M_H2,0.00201588,physical_constants_and_global_boundary
PhysicalParam_simplified,7,p_amb_kPa,101.325,physical_constants_and_global_boundary
PhysicalParam_simplified,8,T_amb_C,25,physical_constants_and_global_boundary
StackModelParam_simplified,1,N_cell,16,model_parameters
StackModelParam_simplified,2,A_cell_cm2,380,model_parameters
StackModelParam_simplified,3,V_ca_m3,0.0002,model_parameters
StackModelParam_simplified,4,V_an_m3,0.00015,model_parameters
StackModelParam_simplified,5,K_ca_out_kg_s_kPa,0.00012,model_parameters
StackModelParam_simplified,6,K_an_out_kg_s_kPa,6.67e-06,model_parameters
StackModelParam_simplified,7,C_stack_J_K,45000,model_parameters
StackModelParam_simplified,8,h_cool_fallback_W_K,836,model_parameters
StackModelParam_simplified,9,h_amb_W_K,9,model_parameters
StackModelParam_simplified,10,E_nernst_ref_V,1.229,model_parameters
StackModelParam_simplified,11,E_nernst_temp_coeff_V_K,0.00085,model_parameters
StackModelParam_simplified,12,book_theta1,0.313798014570513,model_parameters
StackModelParam_simplified,13,book_theta2,0,model_parameters
StackModelParam_simplified,14,book_theta3,-2.16840434497101e-18,model_parameters
StackModelParam_simplified,15,book_theta4,6.22923762412631e-05,model_parameters
StackModelParam_simplified,16,membraneThickness_cm,0.005,model_parameters
StackModelParam_simplified,17,book_theta8,0.000204593457740055,model_parameters
StackModelParam_simplified,18,book_theta9,2.28206062923902e-157,model_parameters
StackModelParam_simplified,19,book_theta10,0.025,model_parameters
StackModelParam_simplified,20,thermoneutralVoltage_V,1.254,model_parameters
StackModelParam_simplified,21,book_theta5,0.525,model_parameters
StackModelParam_simplified,22,book_theta6,0.2173,model_parameters
StackModelParam_simplified,23,book_theta7,-302.06,model_parameters
StackModelParam_simplified,24,tau_mem_s,1,model_parameters
CaseBoundaryParam_simplified,1,I_stack_A,38,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,2,cathode_in_p_kPa_abs,141.325,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,3,cathode_in_T_C,58.9,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,4,cathode_stack_in_flow_kg_s,0.001071035,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,5,cathode_supply_wO2,0.216153520025162,case_boundary_table_or_derived_mass_fraction
CaseBoundaryParam_simplified,6,cathode_supply_wN2,0.714040997136979,case_boundary_table_or_derived_mass_fraction
CaseBoundaryParam_simplified,7,cathode_supply_wH2O,0.0698054828378597,case_boundary_table_or_derived_mass_fraction
CaseBoundaryParam_simplified,8,cathode_out_p_kPa_abs,133.825,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,9,separator_T_C,56,egr_return_T_C_for_egr_or_inactive_noegr_init
CaseBoundaryParam_simplified,10,separator_p_kPa_abs,133.825,egr_return_p_kPa_for_egr_or_inactive_noegr_init
CaseBoundaryParam_simplified,11,egr_fraction_cmd,0,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,12,anode_in_flow_kg_s,4.26304499639966e-05,case_boundary_table_or_derived_mass_fraction
CaseBoundaryParam_simplified,13,anode_in_wH2,0.744949874519322,case_boundary_table_or_derived_mass_fraction
CaseBoundaryParam_simplified,14,anode_in_wH2O,0.255050125480678,case_boundary_table_or_derived_mass_fraction
CaseBoundaryParam_simplified,15,anode_out_p_kPa_abs,144.725,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,16,coolant_in_T_C,61.6,case_boundary_table_or_noegr_interp
CaseBoundaryParam_simplified,17,coolant_flow_L_min,5.5,case_boundary_table_or_noegr_interp
CoolingCurveParam_simplified,1,enabled,1,cooling_curve_model
CoolingCurveParam_simplified,2,flow_breakpoint_01,5.5,cooling_curve_model
CoolingCurveParam_simplified,3,flow_breakpoint_02,6,cooling_curve_model
CoolingCurveParam_simplified,4,flow_breakpoint_03,6.5,cooling_curve_model
CoolingCurveParam_simplified,5,flow_breakpoint_04,7.5,cooling_curve_model
CoolingCurveParam_simplified,6,flow_breakpoint_05,9.1,cooling_curve_model
CoolingCurveParam_simplified,7,flow_breakpoint_06,10,cooling_curve_model
