case_id,source_dataset,status,message,current_A,current_density_A_cm2,egr_fraction,V_exp,V_sim,err_V,stack_in_flow_SLPM,stack_in_flow_kg_s,fresh_supply_flow_SLPM,stack_in_p_kPa_g,stack_out_p_kPa_g,cathode_dp_kPa,stack_in_T_C,stack_in_RH,pO2_stack_kPa,pCa_stack_kPa_abs,pCa_out_boundary_kPa_abs,pH2_stack_kPa,pAn_stack_kPa_abs,T_stack_C,xO2_stack,RH_stack,pO2_in_kPa,xO2_in,RH_in,lambda_m,lambda_ca,lambda_an,mMem_kg_s,N_drag_mol_s,N_diff_mol_s,J_drag_mol_m2_s,J_diff_mol_m2_s,J_net_mol_m2_s,mDrag_kg_s,mDiff_kg_s,mMem_raw_kg_s,mMem_limit_delta_kg_s,mCaOut_kg_s,mIn_kg_s,mIn_error_kg_s,lambdaO2,phaseCa_kg_s,phaseAn_kg_s,condensedCa_kg,condensedAn_kg,psatCa_next_kPa,psatAn_next_kPa,mV_ca_preclip_kg,mV_an_preclip_kg,resO2_kg_s,resN2_kg_s,resH2Oca_kg_s,resH2_kg_s,resH2Oan_kg_s,maxGasRes_kg_s,Qnet_W,Qgen_W,Qcool_W,Qamb_W,Qgas_W,E_Nernst_V,etaAct_V,etaOhm_V,etaCon_V
initial_noegr_01,initial_noegr_steady_xlsx,ok,,38,0.1,0,0.80165625,0.794336561856117,-0.0073196881438834,49.7,0.001071035,49.7,40,32.5,7.5,58.9,0.8,20.8416569418276,142.511210315509,133.825,133.328328972244,153.747166961984,61.2609963608109,0.146245736708612,1,26.4313536258226,0.187025321958766,0.8,13.255355159438,14,12.5107103188761,-2.38930282379785e-05,0.00738728727469923,0.00870414129485194,0.0121501435439132,0.0143160218665328,-0.00218135626048913,0.000133084048694144,0.00015680754258632,-2.37234938921766e-05,-1.69534345801846e-07,0.00104958987612731,0.001071035,0,4.59262356283096,3.91453703419144e-06,0,7.82907406838288e-08,0,21.1387332050027,21.1387332050027,2.74710155640068e-05,1.98448839687066e-05,8.13151629364128e-20,-3.79470760369927e-19,-3.3881317890172e-21,3.72694496791892e-20,-1.4568966692774e-19,3.79470760369927e-19,233.870233231351,279.475370391481,-283.493938146536,326.348031766365,2.75104354030105,1.19176106604523,0.389573478094557,0.00785102609456068,5.90074621216773e-157
initial_noegr_02,initial_noegr_steady_xlsx,ok,,76,0.2,0,0.7726375,0.771656024866147,-0.00098147513385316,71.8,0.00154729,71.8,54.9,44.6,10.3,61.2,0.6,21.2379123302227,158.177460901415,145.925,149.224027633231,171.002203852353,63.2436543982584,0.134266362661236,1,30.0794278903335,0.192539144761296,0.6,12.7618807118608,14.003,11.5207614237215,-2.03910711881561e-05,0.0139943716521243,0.0151385099162609,0.0230170586383623,0.0248988649938501,-0.00186163889948707,0.000252112523737082,0.000272724494924216,-2.06119711871345e-05,2.20899998978454e-07,0.00151539511695753,0.00154729,2.16840434497101e-19,3.38039965979346,2.42103750290108e-05,0,4.84207500580216e-07,0,23.1380868259311,23.1380868259311,3.02910847230445e-05,2.1041262926449e-05,1.76182853028894e-19,-1.24683249835833e-18,1.25360876193636e-19,-5.42101086242752e-20,4.06575814682064e-20,1.24683249835833e-18,202.541105223126,586.530273762765,36.4198216711249,344.192079419904,3.37726744860985,1.19191212092379,0.40454746842373,0.0157086276339122,1.52576164779735e-156
initial_noegr_03,initial_noegr_steady_xlsx,ok,,114,0.3,0,0.75044375,0.754648037214096,0.00420428721409583,90.2,0.00194381,90.2,60,46.1,13.9,62.3,0.6,20.1198878163404,162.341358561223,147.425,163.009759983199,185.731350995021,64.763256329706,0.123935687089576,1,31.0111539826871,0.192227825710133,0.6,12.3144992037147,14.003,10.6259984074295,-2.35874963055711e-05,0.0199536414271203,0.0212714695129757,0.0328184891893425,0.0349859695937101,-0.00215346218248035,0.000359470437329171,0.000383211479287721,-2.37410419585504e-05,1.53545652979255e-07,0.00188728067172643,0.00194381,0,2.82817392094889,5.20043910963297e-05,0,1.04008782192659e-06,0,24.7771539912404,24.7771539912404,3.28149018662087e-05,2.18540332390311e-05,-8.13151629364128e-20,5.42101086242752e-20,2.03287907341032e-19,-3.3881317890172e-20,-4.40457132572236e-20,2.03287907341032e-19,244.288901190829,910.817980121489,303.591524735817,357.868329811749,5.06922438309444,1.19171260288576,0.413492211462066,0.023572354209601,3.94517663052327e-156
initial_noegr_04,initial_noegr_steady_xlsx,ok,,152,0.4,0,0.73384375,0.738975215947236,0.00513146594723635,96.6,0.00208173,96.6,70.1,56.2,13.9,63.8,0.6,18.8150852674185,172.58104745293,157.525,172.76555668825,196.859701924164,66.609435076491,0.109021735266441,1,32.9310350900372,0.192101706810776,0.6,11.94846445746,14.003,9.89392891492002,-2.5274501516387e-05,0.0254943614600275,0.0269080487968836,0.0419315155592558,0.0442566592054007,-0.00230748030615384,0.000459288060123605,0.000484756033329521,-2.54679732059166e-05,1.93471689529557e-07,0.0019863875854696,0.00208173,0,2.27067124418183,9.54835269153561e-05,0,1.90967053830712e-06,0,26.9000062861554,26.9000062861554,3.62194307406947e-05,2.30482570300877e-05,9.48676900924816e-20,2.16840434497101e-18,-2.16840434497101e-19,-6.7762635780344e-20,-8.470329472543e-20,2.16840434497101e-18,278.960479145694,1252.54027481632,592.98407463063,374.483799846502,6.11192119349525,1.19054200821999,0.420125506010974,0.031441286261782,1.02010813212512e-155
initial_noegr_05,initial_noegr_steady_xlsx,ok,,228,0.6,0,0.7102375,0.709453697871044,-0.000783802128956235,120.4,0.00259462,120.4,90,73.5,16.5,68.6,0.6,17.4916746763038,192.632889922782,174.825,190.312411971973,219.392716876605,71.7836057997661,0.0908031576711298,1,36.3920985308738,0.190210890008487,0.6,11.4397254777416,14,8.87945095548326,-2.41904999301497e-05,0.0359751828811895,0.0373061058309971,0.059169708686167,0.0613587266957189,-0.00220851446461349,0.000648102992655836,0.000672079942255046,-2.39769495992096e-05,-2.1355033094011e-07,0.0024465094572194,0.00259462,0,1.87472879435769,0.000162051132087142,0,3.24102264174284e-06,0,33.6875303672226,33.6875303672226,4.55634426404641e-05,2.74006924323734e-05,1.35525271560688e-20,-2.16840434497101e-19,1.76182853028894e-19,-8.13151629364128e-20,6.7762635780344e-21,2.16840434497101e-19,316.767697448568,1986.50491016643,1240.17675180664,421.051185127105,8.50927578412258,1.18710179147092,0.430456872011776,0.0471912215881036,6.8203352910992e-155
initial_noegr_06,initial_noegr_steady_xlsx,ok,,266,0.7,0,0.701175,0.69413655096409,-0.00703844903590978,133.1,0.002868305,133.1,100,82,18,72.2,0.6,16.8649488810043,202.679281961535,183.325,194.14620309463,227.315817832443,75.1487787990349,0.0832100287596487,1,37.8671467033016,0.188089639653802,0.6,11.308781595363,14.003,8.61456319072611,-1.26509617290725e-05,0.0413012026438769,0.0420064907624778,0.0679296096116396,0.0690896229646017,-0.00115499192040697,0.000744052729966183,0.000756758692903451,-1.27059629372687e-05,5.50012081962563e-08,0.0027029214427385,0.002868305,0,1.76354485331628,0.000197212027490514,0,3.94424054981028e-06,0,38.8354875556441,38.8354875556441,5.22627620874155e-05,3.09518467189328e-05,-1.21972744404619e-19,1.51788304147971e-18,2.3039296165317e-19,2.71050543121376e-20,5.0821976835258e-21,1.51788304147971e-18,293.759125258219,2382.77883909683,1629.06992815823,451.337834154813,8.61195152557057,1.18414502347155,0.434939507168823,0.0550689653386364,1.7635406841968e-154
initial_noegr_07,initial_noegr_steady_xlsx,ok,,342,0.9,0,0.68263125,0.671731309476469,-0.0108999405235308,163.1,0.003514805,163.1,120,98.9,21.1,74.2,0.6,17.5375327143352,223.295184519157,200.225,209.856058752994,244.906647821462,77.3573814244197,0.078539681686824,1,41.6763080204541,0.188303662127885,0.6,10.8966624635824,14.003,7.7903249271648,-2.91781946495375e-06,0.0504278159289066,0.0505958060594882,0.0829404867251753,0.0832167862820529,-0.000266387487323056,0.000908471223747712,0.000911497612987376,-3.02638923966443e-06,1.08569774710676e-07,0.00329684956091328,0.003514805,0,1.68204890782541,0.000272221695345559,0,5.44443390691118e-06,0,42.5616770429431,42.5616770429431,5.80653483238355e-05,3.25009640557693e-05,1.49077798716757e-19,-8.67361737988404e-19,-4.60785923306339e-19,4.06575814682064e-20,1.02067470144143e-19,8.67361737988404e-19,315.139738446486,3186.17427454476,2388.65377889428,471.215172260824,11.1655849431728,1.18376416269267,0.44119485766491,0.0708379955512922,1.17908468592047e-153
initial_noegr_08,initial_noegr_steady_xlsx,ok,,418,1.1,0,0.6660375,0.652378402069017,-0.0136590979309827,199.4,0.00429707,199.4,140,114.9,25.1,74.5,0.6,19.5100142551822,244.562251907546,216.225,231.166084882366,266.64718544689,78.6826012948951,0.0797752478275255,1,45.8068104950464,0.18981378015144,0.6,10.4924294979541,14.003,6.98185899590814,-3.34685542142333e-06,0.0584949727825672,0.058683888748225,0.0962088368134328,0.0965195538622121,-0.000305557083587637,0.00105380331327033,0.00105720668728812,-3.40337401779563e-06,5.65185963722997e-08,0.00403695954957482,0.00429707,8.67361737988404e-19,1.69125213787844,0.000326655631950499,0,6.53311263900999e-06,0,44.938306673416,44.938306673416,6.18830904929815e-05,3.27762371770018e-05,-1.49077798716757e-19,-1.62630325872826e-18,-2.43945488809238e-19,-1.35525271560688e-20,2.17687467444355e-19,1.62630325872826e-18,368.483313553219,4023.64524696241,3153.92758471921,483.141937720802,18.0924109691839,1.18507553853889,0.446074514059108,0.0866226224107688,7.8832357485723e-153
initial_noegr_09,initial_noegr_steady_xlsx,ok,,494,1.3,0,0.646875,0.633051375637977,-0.0138236243620228,235.1,0.005066405,235.1,150,119.9,30.1,74.3,0.5,20.7591404722159,256.257059232885,221.225,242.781428480015,278.180557181224,79.7436635094648,0.081009048236014,1,48.7267192617257,0.193879316668559,0.5,10.1298758001809,14.003,6.25675160036178,-4.01699390883325e-06,0.065869211771651,0.0660951368254276,0.108337519361268,0.108709106620769,-0.000366738561730402,0.00118665229344559,0.00119072239654839,-4.07010310280046e-06,5.3109193967211e-08,0.00482642910941696,0.005066405,0,1.71049060577994,0.000318557990983084,0,6.37115981966167e-06,0,46.9205516085083,46.9205516085083,6.39888807680038e-05,3.26021921535366e-05,1.76182853028894e-19,4.33680868994202e-19,-2.03287907341032e-19,-8.13151629364128e-20,2.08370105024558e-19,4.33680868994202e-19,370.700479274218,4907.97792695743,4016.45619761258,492.691488783266,28.1297612873599,1.18561756892494,0.450145714270501,0.102420479016461,5.27064820785568e-152
initial_noegr_10,initial_noegr_steady_xlsx,ok,,570,1.5,0,0.62398125,0.614440932722169,-0.00954031727783067,271.6,0.00585298,271.6,149.9,112.5,37.4,75.1,0.45,20.7557121646714,255.119414833707,213.825,245.440705733467,278.991795919355,79.8236494666057,0.081356850783781,1,48.9778782815089,0.194956227610743,0.45,9.76541841495221,14.003,5.52783682990443,-2.29983154141585e-06,0.0722928735697805,0.0724270046906818,0.118902752581876,0.119123362978095,-0.000209967187121288,0.0013023763593642,0.00130479276906395,-2.41640969975067e-06,1.16578158334817e-07,0.005610713974767,0.00585298,-8.67361737988404e-19,1.71867575115705,0.000335262305783617,0,6.70524611567233e-06,0,47.0729028453419,47.0729028453419,6.44969531390581e-05,3.08931676793203e-05,-2.57498015965307e-19,4.33680868994202e-19,-2.43945488809238e-19,1.15196480826585e-19,-4.36221967835965e-20,4.33680868994202e-19,209.412871364046,5832.77869357381,5101.601270776,493.412007547965,28.352543885808,1.18599763218219,0.453323084806626,0.118233614653399,3.52389975601114e-151
