case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
initial_noegr_01,initial_noegr_steady_xlsx,10,1,38,0,ok,,200,0.000532436945782167,-4.95517983698761e-05,0.0036650872937134,0.000800856188138799,4.6861274107225
initial_noegr_02,initial_noegr_steady_xlsx,10,1,76,0,ok,,200,0.000647504887600457,-8.71762144027489e-05,0.00338222814008127,0.000687480992944911,2.85191810293907
initial_noegr_03,initial_noegr_steady_xlsx,10,1,114,0,ok,,200,0.000849343183661404,-0.000133513360559309,0.00182326228735263,0.00036978230098561,2.28772821537814
initial_noegr_04,initial_noegr_steady_xlsx,10,1,152,0,ok,,200,0.000963927267180266,-0.000173674133827203,8.77042903812963e-06,1.76824334030545e-06,1.99862523143221
initial_noegr_05,initial_noegr_steady_xlsx,10,1,228,0,ok,,200,0.00127194522111744,-0.000246309911251038,8.48689067645125e-06,1.71107760577049e-06,1.75276983471967
initial_noegr_06,initial_noegr_steady_xlsx,10,1,266,0,ok,,200,0.00147041496672349,-0.000290797130215747,8.4264025845826e-06,1.69888227002923e-06,1.72983337833106
initial_noegr_07,initial_noegr_steady_xlsx,10,1,342,0,ok,,200,0.00170534088124794,-0.000353374449424154,7.90245630355457e-06,1.59324664034122e-06,1.54978724368071
initial_noegr_08,initial_noegr_steady_xlsx,10,1,418,0,ok,,200,0.001905061128567,-0.000416681153638921,8.50538712260374e-06,1.7148067756878e-06,1.41467467522217
initial_noegr_09,initial_noegr_steady_xlsx,10,1,494,0,ok,,200,0.00204902033612089,-0.000466416115006917,1.82616771979838e-05,3.68184039606367e-06,1.30039725511634
initial_noegr_10,initial_noegr_steady_xlsx,10,1,570,0,ok,,200,0.00219264935464269,-0.000522835947311337,2.31055365516042e-05,4.65845536912202e-06,1.20670293315633
initial_noegr_11,initial_noegr_steady_xlsx,10,1,646,0,ok,,200,0.00233581312648727,-0.00057547795159114,2.78154775106287e-05,5.60807665789254e-06,1.13832528417205
initial_noegr_12,initial_noegr_steady_xlsx,10,1,684,0,ok,,200,0.00240318952739121,-0.000605443620150759,2.78154775097406e-05,5.60807665794805e-06,1.10397553694994
initial_noegr_13,initial_noegr_steady_xlsx,10,1,722,0,ok,,200,0.00249559847470549,-0.000636268608464655,2.78154775097406e-05,5.60807665789254e-06,1.08415271091405
cegr0608_001,cegr_0608_txt,10,1,38,0,ok,,200,0.000461845232070348,-3.47108097474283e-05,0.00954048301372623,0.00237933796361878,4.04324413401416
cegr0608_002,cegr_0608_txt,10,1,38,0.0536594306,ok,,200,0.000472474736261158,-3.38720289191787e-05,0.00845152048743181,0.00212990268833158,4.1389310059894
cegr0608_003,cegr_0608_txt,10,1,38,0.2858217391,ok,,200,0.000464947968337798,-3.3748950733478e-05,0.007383523486721,0.00186286385477202,4.0778820484132
cegr0608_004,cegr_0608_txt,10,1,38,0.3707279438,ok,,200,0.000469070638287438,-3.64574412833249e-05,0.00743051935571204,0.00182496891446288,4.11500633747347
cegr0608_005,cegr_0608_txt,10,1,38,0.4680959866,ok,,200,0.000471899853561474,-3.76884072852449e-05,0.00758987653767607,0.00184108513922004,4.14075253328671
cegr0608_006,cegr_0608_txt,10,1,38,0.5478621762,ok,,200,0.000478077512300139,-3.99766352987734e-05,0.00787639640311433,0.00186672179206532,4.19506172007637
cegr0608_007,cegr_0608_txt,10,1,38,0.6205626263,ok,,200,0.000481225320837583,-4.14197299280958e-05,0.00803581389462238,0.00187614065309705,4.22340588689539
cegr0608_008,cegr_0608_txt,10,1,38,0,ok,,200,0.000474854570528747,-3.79839383809704e-05,0.00720954758602499,0.00174482318389957,4.16413270995614
cegr0608_009,cegr_0608_txt,10,1,38,0.05314808853,ok,,200,0.00049104630817836,-3.50419354105666e-05,0.00800732600442222,0.00200033331293731,4.30154533624928
cegr0608_010,cegr_0608_txt,10,1,38,0.1952558824,ok,,200,0.000485450218667989,-3.17511412705828e-05,0.00791290472546402,0.00203698921265244,4.25424984512589
cegr0608_011,cegr_0608_txt,10,1,38,0.2190877358,ok,,200,0.000484319667647249,-3.10717147981745e-05,0.00786658268860441,0.00203733287953611,4.24470913221445
cegr0608_012,cegr_0608_txt,10,1,38,0.2303416667,ok,,200,0.000484928473059174,-3.11297636851399e-05,0.00775737339483484,0.00200821262844836,4.25085352006754
cegr0608_013,cegr_0608_txt,10,1,38,0,ok,,200,0.000502805042313551,-4.14233658317534e-05,0.00807404983307247,0.00189663778753252,4.40266404692108
cegr0608_014,cegr_0608_txt,10,1,38,0.1489428571,ok,,200,0.00050240800712145,-4.16800352382749e-05,0.00850788214392173,0.00199227905547089,4.39781123043992
cegr0608_015,cegr_0608_txt,10,1,20,0.4261,ok,,200,0.000426243067922169,-2.29421392376769e-05,0.00799459795588753,0.00199582232212686,7.07497719349907
cegr0608_016,cegr_0608_txt,10,1,20,0,ok,,200,0.00045351249366384,-2.62683966587653e-05,0.00824076807047991,0.00212789995112667,7.21681841293359
initial_noegr_01,initial_noegr_steady_xlsx,10,0.5,38,0,ok,,200,0.000532436945782167,-4.95517983698761e-05,0.0036650872937134,0.000800856188138799,4.6861274107225
initial_noegr_02,initial_noegr_steady_xlsx,10,0.5,76,0,ok,,200,0.000647504862171454,-8.71762179094385e-05,0.00338257643662576,0.00068755157122613,2.85191796756293
initial_noegr_03,initial_noegr_steady_xlsx,10,0.5,114,0,ok,,200,0.000849343178902518,-0.00013351336057907,0.00182350790723085,0.000369832046236251,2.2877282003772
initial_noegr_04,initial_noegr_steady_xlsx,10,0.5,152,0,ok,,200,0.000963943463793397,-0.000169442471612001,7.77012597819038e-06,1.56656682420708e-06,1.99232199196943
initial_noegr_05,initial_noegr_steady_xlsx,10,0.5,228,0,ok,,200,0.00127194402064856,-0.000240763689677779,8.58964432293163e-06,1.73179433249349e-06,1.74677801093814
initial_noegr_06,initial_noegr_steady_xlsx,10,0.5,266,0,ok,,200,0.00147041287525985,-0.00028444210483191,8.61492353809723e-06,1.73689101501395e-06,1.72381685824284
initial_noegr_07,initial_noegr_steady_xlsx,10,0.5,342,0,ok,,200,0.0017053125621587,-0.000353374459036044,8.65471274202889e-06,1.74491313603697e-06,1.54978745191583
initial_noegr_08,initial_noegr_steady_xlsx,10,0.5,418,0,ok,,200,0.00190509556354688,-0.000416681146384172,8.64604732697671e-06,1.74316605366931e-06,1.41467452871974
initial_noegr_09,initial_noegr_steady_xlsx,10,0.5,494,0,ok,,200,0.00204902034120385,-0.000466416115215826,1.82111683768582e-05,3.67165688558435e-06,1.30039725947412
initial_noegr_10,initial_noegr_steady_xlsx,10,0.5,570,0,ok,,200,0.00219264935242414,-0.000522835947230415,2.29437579184477e-05,4.62583757737667e-06,1.2067029314143
initial_noegr_11,initial_noegr_steady_xlsx,10,0.5,646,0,ok,,200,0.00233581312186446,-0.000575477951451226,2.76732264890001e-05,5.57939581796729e-06,1.13832528087719
initial_noegr_12,initial_noegr_steady_xlsx,10,0.5,684,0,ok,,200,0.00240318828959809,-0.000605192826586689,0.00213144007433819,0.000428901393057846,1.10372933748732
initial_noegr_13,initial_noegr_steady_xlsx,10,0.5,722,0,ok,,200,0.00121162153708471,-7.08821920572246e-05,0.116087282169959,0.00704228149540098,0.559401973195654
cegr0608_001,cegr_0608_txt,10,0.5,38,0,ok,,200,0.000461845231691437,-3.47108097922625e-05,0.00954076302673146,0.00237940726082292,4.04324413000494
cegr0608_002,cegr_0608_txt,10,0.5,38,0.0536594306,ok,,200,0.000472474735864936,-3.38720289657524e-05,0.00845162397970345,0.00212992859215028,4.13893100179311
cegr0608_003,cegr_0608_txt,10,0.5,38,0.2858217391,ok,,200,0.000464947967977606,-3.37489507779574e-05,0.00738356425826225,0.00186287407969493,4.07788204459343
cegr0608_004,cegr_0608_txt,10,0.5,38,0.3707279438,ok,,200,0.000469070637912861,-3.64574413278731e-05,0.00743078913065753,0.00182503477467993,4.11500633350035
cegr0608_005,cegr_0608_txt,10,0.5,38,0.4680959866,ok,,200,0.00047189985329857,-3.76884073178538e-05,0.00759009003510069,0.00184113660982871,4.14075253049775
cegr0608_006,cegr_0608_txt,10,0.5,38,0.5478621762,ok,,200,0.000478077512300139,-3.99766352987734e-05,0.00787639640311433,0.00186672179206532,4.19506172007637
cegr0608_007,cegr_0608_txt,10,0.5,38,0.6205626263,ok,,200,0.000481225320837583,-4.14197299280958e-05,0.00803581389462238,0.00187614065309705,4.22340588689539
cegr0608_008,cegr_0608_txt,10,0.5,38,0,ok,,200,0.000474854570175529,-3.79839384155234e-05,0.00720955972322068,0.00174482610345456,4.16413270621013
cegr0608_009,cegr_0608_txt,10,0.5,38,0.05314808853,ok,,200,0.00049104630782428,-3.50419354480301e-05,0.00800733651301044,0.00200033592045612,4.30154533249843
cegr0608_010,cegr_0608_txt,10,0.5,38,0.1952558824,ok,,200,0.000485450218280911,-3.17511413195658e-05,0.00791295758944877,0.00203700273470642,4.25424984102437
cegr0608_011,cegr_0608_txt,10,0.5,38,0.2190877358,ok,,200,0.000484319667256982,-3.10717148491233e-05,0.00786663738581739,0.00203734695608943,4.24470912807884
cegr0608_012,cegr_0608_txt,10,0.5,38,0.2303416667,ok,,200,0.000484928472688818,-3.11297637342454e-05,0.0077574732413126,0.00200823831663233,4.25085351614219
cegr0608_013,cegr_0608_txt,10,0.5,38,0,ok,,200,0.000502805034745295,-4.14233663936518e-05,0.00807402444906025,0.00189663184828148,4.40266396676914
cegr0608_014,cegr_0608_txt,10,0.5,38,0.1489428571,ok,,200,0.000502408000305499,-4.16800357471306e-05,0.00850800232211402,0.00199230699041469,4.39781115828378
cegr0608_015,cegr_0608_txt,10,0.5,20,0.4261,ok,,200,0.000426243067922169,-2.29421392376769e-05,0.00799459795588753,0.00199582232212686,7.07497719349907
cegr0608_016,cegr_0608_txt,10,0.5,20,0,ok,,200,0.00045351249366384,-2.62683966587653e-05,0.00824076807047991,0.00212789995112667,7.21681841293359
initial_noegr_01,initial_noegr_steady_xlsx,10,0.2,38,0,ok,,200,0.000532436938312491,-4.95517991890193e-05,0.00366542819963733,0.000800930454063986,4.68612733118465
initial_noegr_02,initial_noegr_steady_xlsx,10,0.2,76,0,ok,,200,0.000647506602463054,-8.39592618116636e-05,0.0033882535568095,0.000688692011354519,2.84441743784573
initial_noegr_03,initial_noegr_steady_xlsx,10,0.2,114,0,ok,,200,0.000849356338749878,-0.000129833708433505,0.00178060527812374,0.0003611257367655,2.28115321029128
initial_noegr_04,initial_noegr_steady_xlsx,10,0.2,152,0,ok,,200,0.000859802456307055,-0.000143543435267724,0.00520911311254668,0.0008975120843705,1.87824938011171
initial_noegr_05,initial_noegr_steady_xlsx,10,0.2,228,0,ok,,200,7.52383187562814e-05,-2.01337068426158e-05,0.0414273821611673,0.00113717008846248,0.0993322908032001
initial_noegr_06,initial_noegr_steady_xlsx,10,0.2,266,0,ok,,0,1.06180406929279e-07,-1.00217016175723e-05,0.00707869236788738,0.000193242711167718,0.0252226157696393
initial_noegr_07,initial_noegr_steady_xlsx,10,0.2,342,0,ok,,0,4.39643597728241e-08,-2.73310163231607e-07,0.00921477020083472,0.000259995035846172,0.000535007620609673
initial_noegr_08,initial_noegr_steady_xlsx,10,0.2,418,0,ok,,0,4.12350721277085e-08,1.88410216569585e-06,0.0121108998976922,0.000357142147998091,0.00301757768623895
initial_noegr_09,initial_noegr_steady_xlsx,10,0.2,494,0,ok,,0,2.85269035344139e-08,4.56551289215344e-06,0.0137288766099566,0.000422178306342391,0.00618718236952006
initial_noegr_10,initial_noegr_steady_xlsx,10,0.2,570,0,ok,,0,4.0346197322064e-09,7.90492143529711e-06,0.00893522891963094,0.000287367359981361,0.00928438187193391
initial_noegr_11,initial_noegr_steady_xlsx,10,0.2,646,0,ok,,0,9.20289923755493e-09,1.18331534825924e-05,0.0083156417731427,0.000278471844693096,0.0122630435967132
initial_noegr_12,initial_noegr_steady_xlsx,10,0.2,684,0,ok,,0,1.30730438850085e-08,1.40420648339645e-05,0.00598756720740212,0.000205198139609286,0.0137437474085071
initial_noegr_13,initial_noegr_steady_xlsx,10,0.2,722,0,ok,,0,1.66507797300057e-08,1.63560515217627e-05,0.00548776962424213,0.000191571690691505,0.0151660179262706
cegr0608_001,cegr_0608_txt,10,0.2,38,0,ok,,200,0.000461845224420367,-3.4710810652626e-05,0.0095417267950757,0.00237964575415717,4.04324405306825
