case_id,source_dataset,tau_memb_s,k_mem_eff,current_A,egr_fraction,status,message,mMem_sign_changes_last,mMem_last_range_kg_s,mMem_last_mean_kg_s,lambda_m_last_range,a_memb_last_range,abs_mMem_over_prod
initial_noegr_01,initial_noegr_steady_xlsx,10,0.1,38,0,ok,,0,1.29194735907773e-07,-2.04797610003602e-05,0.00196334819968413,4.77152035243122e-05,0.360804196467267
initial_noegr_02,initial_noegr_steady_xlsx,10,0.1,76,0,ok,,0,9.58116251081095e-08,-1.71503430895144e-05,0.000351609670389053,8.76826392504082e-06,0.151073925067811
initial_noegr_03,initial_noegr_steady_xlsx,10,0.1,114,0,ok,,0,1.26952772095318e-07,-1.89492728318645e-05,0.00105139126143783,2.73562405711525e-05,0.111280223722982
initial_noegr_04,initial_noegr_steady_xlsx,10,0.1,152,0,ok,,0,1.55910789783719e-07,-2.0344941562191e-05,0.00196268795825461,5.29660428888468e-05,0.0896072504507096
initial_noegr_05,initial_noegr_steady_xlsx,10,0.1,228,0,ok,,0,1.73341472944793e-07,-1.90843383766329e-05,0.00406963732551091,0.000114418470648858,0.0560367002734174
initial_noegr_06,initial_noegr_steady_xlsx,10,0.1,266,0,ok,,0,9.89193099588952e-08,-9.51419500949185e-06,0.00572010621691987,0.000158248603242317,0.0239453232833291
initial_noegr_07,initial_noegr_steady_xlsx,10,0.1,342,0,ok,,0,4.20844287774245e-08,-2.60457925972781e-07,0.00853784785253353,0.000240975136147403,0.000509849226227066
initial_noegr_08,initial_noegr_steady_xlsx,10,0.1,418,0,ok,,0,3.98343776607783e-08,1.78742362995311e-06,0.0113916178797773,0.000335104012485377,0.00286273736095977
initial_noegr_09,initial_noegr_steady_xlsx,10,0.1,494,0,ok,,0,2.85186579534593e-08,4.29578600548813e-06,0.013060217397344,0.000399238455837891,0.00582164853418048
initial_noegr_10,initial_noegr_steady_xlsx,10,0.1,570,0,ok,,0,5.51272507990876e-09,7.37176266513243e-06,0.00860978500050535,0.000274024026834185,0.00865818341302494
initial_noegr_11,initial_noegr_steady_xlsx,10,0.1,646,0,ok,,0,6.1603556188011e-09,1.09341523186649e-05,0.00809759686936928,0.000266946841982585,0.0113313823550199
initial_noegr_12,initial_noegr_steady_xlsx,10,0.1,684,0,ok,,0,1.01421845568596e-08,1.2928639107735e-05,0.00588394482799437,0.000197867653000228,0.0126539759168944
initial_noegr_13,initial_noegr_steady_xlsx,10,0.1,722,0,ok,,0,1.32653259716982e-08,1.49904179310422e-05,0.00542072947972372,0.00018511423346268,0.0138997451042495
cegr0608_001,cegr_0608_txt,10,0.1,38,0,ok,,200,0.000135758567858764,-1.50603257459938e-05,0.272897420446283,0.00882042627140589,1.18542917600247
cegr0608_002,cegr_0608_txt,10,0.1,38,0.0536594306,ok,,200,0.000133161120175406,-1.57764719369391e-05,0.176597724254167,0.00559579663668808,1.16445237050324
